databaseName;institutionID;projectSource;projectUpdate;datasetName;dataProvider;rightsHolder;license;accessRights;collection;references;referencesDOI;occurrenceID;verbatimOccurrenceID;modified;identificationVerificationStatus;pollinatorTaxa;verbatimScientificName;verbatimScientificNameAuthorship;verbatimFamily;verbatimGenus;verbatimSubgenus;verbatimSpecificEpithet;verbatimInfraspecificEpithet;scientificNameAuthorship;order;family;subfamily;tribe;genus;subgenus;specificEpithet;infraspecificEpithet;scientificName;individualCountEnd;individualCountStart;sex;recordedBy;identifiedBy;validatedBy;dateIdentified;taxonNote;verbatimEventDate;eventDate;yearEnd;monthEnd;dayEnd;yearStart;monthStart;dayStart;plantFamily;plantGenus;plantEpithet;plantScientificName;samplingProtocol;samplingNote;country;county;municipality;locality;decimalLatitude;decimalLongitude;coordinateUncertaintyInMetersEnd;coordinateUncertaintyInMetersStart;verbatimCoordinates;coordinatesType;coordinatesProvided;georeferenceNote;verbatimElevation;fieldNote;footPrintWKT;stateProvince;geometry;FILE_NAME
European Bee DataBase;Laboratory of Zoology, University of Mons (UMONS);PULSE | SAFEGUARD;2024;MarshallL_ULBSTEPPlus_2023;ULB;BWARS;Embargoed data: access restricted until the submission and acceptance of the related data paper, after which the data will be released under http://creativecommons.org/licenses/by/4.0/.;Member of work package 5 of the WildPosh project;"";"";"";ULB_RL_1576054;"";"";OK;bee;"";"";Halictidae;Seladonia;"";"";"";(Linnaeus, 1758);Hymenoptera;Halictidae;Halictinae;Halictini;Seladonia;Pachyceble;tumulorum;"";Seladonia tumulorum;1;"";"";"";"";"";"";"";"1976/5/16;NA/NA/NA";1976-5-16;1976;5;16;"";"";"";"";"";"";"";"";"";U.K. of Great Britain and Northern Ireland;United Kingdom - Great Britain;"";"";50.8443930979636;-0.0483369398345732;100;"";"";"";provided;"";"";"";-702974.678730706|141397.460352121;United Kingdom - Great Britain;3615817.39572657|3129967.36921007;MarshallL_ULBSTEPPlus_2023_test.csv
European Bee DataBase;Laboratory of Zoology, University of Mons (UMONS);PULSE | SAFEGUARD;2024;MarshallL_ULBSTEPPlus_2023;ULB;BWARS;Embargoed data: access restricted until the submission and acceptance of the related data paper, after which the data will be released under http://creativecommons.org/licenses/by/4.0/.;Member of work package 5 of the WildPosh project;"";"";"";ULB_RL_1578236;"";"";OK;bee;"";"";Halictidae;Seladonia;"";"";"";(Linnaeus, 1758);Hymenoptera;Halictidae;Halictinae;Halictini;Seladonia;Pachyceble;tumulorum;"";Seladonia tumulorum;1;"";"";"";"";"";"";"";"2000/8/20;NA/NA/NA";2000-8-20;2000;8;20;"";"";"";"";"";"";"";"";"";U.K. of Great Britain and Northern Ireland;United Kingdom - Great Britain;"";"";51.5064666720879;-0.00576720111567704;100;"";"";"";provided;"";"";"";-690190.930760219|214271.504082031;United Kingdom - Great Britain;3628803.49233612|3202634.79492407;MarshallL_ULBSTEPPlus_2023_test.csv
European Bee DataBase;Laboratory of Zoology, University of Mons (UMONS);PULSE | SAFEGUARD;2024;MarshallL_ULBSTEPPlus_2023;ULB;BWARS;Embargoed data: access restricted until the submission and acceptance of the related data paper, after which the data will be released under http://creativecommons.org/licenses/by/4.0/.;Member of work package 5 of the WildPosh project;"";"";"";ULB_RL_1585634;"";"";OK;bee;Sphecodes ephippius;"";Halictidae;Sphecodes;"";"";"";(Linnaeus, 1767);Hymenoptera;Halictidae;Halictinae;Sphecodini;Sphecodes;"";ephippius;"";Sphecodes ephippius;1;"";"";"";"";"";"";"";20110521;2011-5-21;2011;5;21;"";"";"";"";"";"";"";"";"";U.K. of Great Britain and Northern Ireland;United Kingdom - Great Britain;"";"";51.3038302697212;0.480409084229042;1000;"";"";"";provided;"";"";"";-659700.552721167|187465.913931864;United Kingdom - Great Britain;3659285.09990769|3175747.46567076;MarshallL_ULBSTEPPlus_2023_test.csv
European Bee DataBase;Laboratory of Zoology, University of Mons (UMONS);PULSE | SAFEGUARD;2024;MarshallL_ULBSTEPPlus_2023;ULB;BWARS;Embargoed data: access restricted until the submission and acceptance of the related data paper, after which the data will be released under http://creativecommons.org/licenses/by/4.0/.;Member of work package 5 of the WildPosh project;"";"";"";ULB_RL_1597357;"";"";OK;bee;Sphecodes geoffrellus;"";Halictidae;Sphecodes;"";"";"";(Kirby, 1802);Hymenoptera;Halictidae;Halictinae;Sphecodini;Sphecodes;"";geoffrellus;"";Sphecodes geoffrellus;1;"";"";"";"";"";"";"";19850821;1985-8-21;1985;8;21;"";"";"";"";"";"";"";"";"";U.K. of Great Britain and Northern Ireland;Great Britain [United Kingdon of Great Britain and Northern Ireland];"";"";50.9587262503617;0.632873858902262;1000;"";"";"";provided;"";"";"";-653985.530382423|147901.6565021;United Kingdom - Great Britain;3664926.62472656|3136247.37128524;MarshallL_ULBSTEPPlus_2023_test.csv
European Bee DataBase;Laboratory of Zoology, University of Mons (UMONS);PULSE | SAFEGUARD;2024;MarshallL_ULBSTEPPlus_2023;ULB;BWARS;Embargoed data: access restricted until the submission and acceptance of the related data paper, after which the data will be released under http://creativecommons.org/licenses/by/4.0/.;Member of work package 5 of the WildPosh project;"";"";"";ULB_RL_1612989;"";"";OK;bee;Sphecodes pellucidus;"";Halictidae;Sphecodes;"";"";"";Smith, 1845;Hymenoptera;Halictidae;Halictinae;Sphecodini;Sphecodes;"";pellucidus;"";Sphecodes pellucidus;1;"";"";"";"";"";"";"";20070715;2007-7-15;2007;7;15;"";"";"";"";"";"";"";"";"";U.K. of Great Britain and Northern Ireland;Great Britain [United Kingdon of Great Britain and Northern Ireland];"";"";52.5375186102;-2.4717444855385;100;"";"";"";provided;"";"";"";-839848.810962545|353231.238703556;United Kingdom - Great Britain;3479539.70359976|3342212.6798166;MarshallL_ULBSTEPPlus_2023_test.csv
European Bee DataBase;Laboratory of Zoology, University of Mons (UMONS);PULSE | SAFEGUARD;2024;MarshallL_ULBSTEPPlus_2023;ULB;BWARS;Embargoed data: access restricted until the submission and acceptance of the related data paper, after which the data will be released under http://creativecommons.org/licenses/by/4.0/.;Member of work package 5 of the WildPosh project;"";"";"";ULB_RL_1610370;"";"";OK;bee;Sphecodes pellucidus;"";Halictidae;Sphecodes;"";"";"";Smith, 1845;Hymenoptera;Halictidae;Halictinae;Sphecodini;Sphecodes;"";pellucidus;"";Sphecodes pellucidus;1;"";"";"";"";"";"";"";20100613;2010-6-13;2010;6;13;"";"";"";"";"";"";"";"";"";U.K. of Great Britain and Northern Ireland;Great Britain [United Kingdon of Great Britain and Northern Ireland];"";"";51.1290382125027;0.228049142578933;1000;"";"";"";provided;"";"";"";-679624.48866952|170360.339388315;United Kingdom - Great Britain;3639277.95004494|3158766.01696346;MarshallL_ULBSTEPPlus_2023_test.csv
European Bee DataBase;Laboratory of Zoology, University of Mons (UMONS);PULSE | SAFEGUARD;2024;MarshallL_ULBSTEPPlus_2023;ULB;BWARS;Embargoed data: access restricted until the submission and acceptance of the related data paper, after which the data will be released under http://creativecommons.org/licenses/by/4.0/.;Member of work package 5 of the WildPosh project;"";"";"";ULB_RL_1613886;"";"";OK;bee;Sphecodes puncticeps;"";Halictidae;Sphecodes;"";"";"";Thomson, 1870;Hymenoptera;Halictidae;Halictinae;Sphecodini;Sphecodes;"";puncticeps;"";Sphecodes puncticeps;1;"";"";"";"";"";"";"";19920728;1992-7-28;1992;7;28;"";"";"";"";"";"";"";"";"";U.K. of Great Britain and Northern Ireland;Great Britain [United Kingdon of Great Britain and Northern Ireland];"";"";51.254738067358;1.03675127941903;1000;"";"";"";provided;"";"";"";-621988.402232172|177276.936373506;United Kingdom - Great Britain;3697058.71171016|3165422.26209732;MarshallL_ULBSTEPPlus_2023_test.csv
European Bee DataBase;Laboratory of Zoology, University of Mons (UMONS);PULSE | SAFEGUARD;2024;MarshallL_ULBSTEPPlus_2023;ULB;BWARS;Embargoed data: access restricted until the submission and acceptance of the related data paper, after which the data will be released under http://creativecommons.org/licenses/by/4.0/.;Member of work package 5 of the WildPosh project;"";"";"";ULB_RL_1616031;"";"";OK;bee;Sphecodes reticulatus;"";Halictidae;Sphecodes;"";"";"";Thomson, 1870;Hymenoptera;Halictidae;Halictinae;Sphecodini;Sphecodes;"";reticulatus;"";Sphecodes reticulatus;1;"";"";"";"";"";"";"";20000721;2000-7-21;2000;7;21;"";"";"";"";"";"";"";"";"";U.K. of Great Britain and Northern Ireland;United Kingdom - Great Britain;"";"";52.0314059316527;-1.97225898545242;1000;"";"";"";provided;"";"";"";-815475.694624375|291977.313612551;United Kingdom - Great Britain;3503615.45432023|3280870.34343998;MarshallL_ULBSTEPPlus_2023_test.csv
European Bee DataBase;Laboratory of Zoology, University of Mons (UMONS);PULSE | SAFEGUARD;2024;MarshallL_ULBSTEPPlus_2023;ULB;BWARS;Embargoed data: access restricted until the submission and acceptance of the related data paper, after which the data will be released under http://creativecommons.org/licenses/by/4.0/.;Member of work package 5 of the WildPosh project;"";"";"";ULB_RL_1620451;"";"";OK;bee;"";"";Megachilidae;Stelis;"";"";"";(Kirby, 1802);Hymenoptera;Megachilidae;Megachilinae;Anthidiini;Stelis;Stelis;phaeoptera;"";Stelis phaeoptera;1;"";"";"";"";"";"";"";20150704;2015-7-4;2015;7;4;"";"";"";"";"";"";"";"";"";U.K. of Great Britain and Northern Ireland;Great Britain [United Kingdon of Great Britain and Northern Ireland];"";"";52.5627579529712;-2.7950848798487;100;"";"";"";provided;"";"";"";-860936.335351454|359670.79634823;United Kingdom - Great Britain;3458477.3628533|3348780.02100388;MarshallL_ULBSTEPPlus_2023_test.csv
European Bee DataBase;Laboratory of Zoology, University of Mons (UMONS);PULSE | SAFEGUARD;2024;MarshallL_ULBSTEPPlus_2023;ULB;UMONS_BDFGM;Embargoed data: access restricted until the submission and acceptance of the related data paper, after which the data will be released under http://creativecommons.org/licenses/by/4.0/.;Member of work package 5 of the WildPosh project;"";"";"";ULB_RL_1391;"";"";OK;bee;"";"";Andrenidae;Andrena;"";"";"";Dours, 1873;Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Ulandrena;abbreviata;"";Andrena abbreviata;1;"";"";"";"";"";"";"";19890000;1989-NA-NA;1989;"";"";"";"";"";"";"";"";"";"";"";Ukraine;Ukraine - Krym;"";"";45.74962;34.58282;"";"";"";"";provided;"";"";"";1877021.26911996|-163833.159495227;Ukraine;6196727.68479914|2829519.31310584;MarshallL_ULBSTEPPlus_2023_test.csv
European Bee DataBase;Laboratory of Zoology, University of Mons (UMONS);PULSE | SAFEGUARD;2024;MarshallL_ULBSTEPPlus_2023;ULB;UMONS_BDFGM;Embargoed data: access restricted until the submission and acceptance of the related data paper, after which the data will be released under http://creativecommons.org/licenses/by/4.0/.;Member of work package 5 of the WildPosh project;"";"";"";ULB_RL_374843;"";"";OK;bee;"";"";Andrenidae;Andrena;"";"";"";(Kirby, 1802);Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Cnemidandrena;nigriceps;"";Andrena nigriceps;1;"";"";"";"";"";"";"";19890000;1989-NA-NA;1989;"";"";"";"";"";"";"";"";"";"";"";Ukraine;Ukraine;"";"";49.58294;24.58286;"";"";"";"";provided;"";"";"";1044022.76904097|55151.0005732902;Ukraine;5367771.5263296|3045529.55852611;MarshallL_ULBSTEPPlus_2023_test.csv
European Bee DataBase;Laboratory of Zoology, University of Mons (UMONS);PULSE | SAFEGUARD;2024;MarshallL_ULBSTEPPlus_2023;ULB;UMONS_BDFGM;Embargoed data: access restricted until the submission and acceptance of the related data paper, after which the data will be released under http://creativecommons.org/licenses/by/4.0/.;Member of work package 5 of the WildPosh project;"";"";"";ULB_RL_493208;"";"";OK;bee;"";"";Andrenidae;Andrena;"";"";"";Nylander, 1848;Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Micrandrena;subopaca;"";Andrena subopaca;1;"";"";"";"";"";"";"";19890000;1989-NA-NA;1989;"";"";"";"";"";"";"";"";"";"";"";Ukraine;Ukraine - Ukraine (main part);"";"";50.41627;31.08283;"";"";"";"";provided;"";"";"";1473235.27711574|254700.895379603;Ukraine;5795735.97420625|3248336.17894319;MarshallL_ULBSTEPPlus_2023_test.csv
European Bee DataBase;Laboratory of Zoology, University of Mons (UMONS);PULSE | SAFEGUARD;2024;MarshallL_ULBSTEPPlus_2023;ULB;UMONS_BDFGM;Embargoed data: access restricted until the submission and acceptance of the related data paper, after which the data will be released under http://creativecommons.org/licenses/by/4.0/.;Member of work package 5 of the WildPosh project;"";"";"";ULB_RL_1391;"";"";OK;bee;"";"";Andrenidae;Andrena;"";"";"";Dours, 1873;Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Ulandrena;abbreviata;"";Andrena abbreviata;1;"";"";"";"";"";"";"";19890000;1989-NA-NA;1989;"";"";"";"";"";"";"";"";"";"";"";Ukraine;Ukraine - Krym;"";"";45.74962;34.58282;"";"";"";"";provided;"";"";"";1877021.26911996|-163833.159495227;Ukraine - Krym;6196727.68479914|2829519.31310584;MarshallL_ULBSTEPPlus_2023_test.csv
European Bee DataBase;Laboratory of Zoology, University of Mons (UMONS);PULSE | SAFEGUARD;2024;MarshallL_ULBSTEPPlus_2023;ULB;UMONS_BDFGM;Embargoed data: access restricted until the submission and acceptance of the related data paper, after which the data will be released under http://creativecommons.org/licenses/by/4.0/.;Member of work package 5 of the WildPosh project;"";"";"";ULB_RL_374843;"";"";OK;bee;"";"";Andrenidae;Andrena;"";"";"";(Kirby, 1802);Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Cnemidandrena;nigriceps;"";Andrena nigriceps;1;"";"";"";"";"";"";"";19890000;1989-NA-NA;1989;"";"";"";"";"";"";"";"";"";"";"";Ukraine;Ukraine;"";"";49.58294;24.58286;"";"";"";"";provided;"";"";"";1044022.76904097|55151.0005732902;Ukraine - Ukraine (main part);5367771.5263296|3045529.55852611;MarshallL_ULBSTEPPlus_2023_test.csv
European Bee DataBase;Laboratory of Zoology, University of Mons (UMONS);PULSE | SAFEGUARD;2024;MarshallL_ULBSTEPPlus_2023;ULB;UMONS_BDFGM;Embargoed data: access restricted until the submission and acceptance of the related data paper, after which the data will be released under http://creativecommons.org/licenses/by/4.0/.;Member of work package 5 of the WildPosh project;"";"";"";ULB_RL_493208;"";"";OK;bee;"";"";Andrenidae;Andrena;"";"";"";Nylander, 1848;Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Micrandrena;subopaca;"";Andrena subopaca;1;"";"";"";"";"";"";"";19890000;1989-NA-NA;1989;"";"";"";"";"";"";"";"";"";"";"";Ukraine;Ukraine - Ukraine (main part);"";"";50.41627;31.08283;"";"";"";"";provided;"";"";"";1473235.27711574|254700.895379603;Ukraine - Ukraine (main part);5795735.97420625|3248336.17894319;MarshallL_ULBSTEPPlus_2023_test.csv
European Bee DataBase;Laboratory of Zoology, University of Mons (UMONS);PULSE | SAFEGUARD;2024;WoodTJ_Andrena_2023;Thomas James Wood;Thomas James Wood;Embargoed data: access restricted until the submission and acceptance of the related data paper, after which the data will be released under http://creativecommons.org/licenses/by/4.0/.;Member of work package 5 of the WildPosh project;"";"";"";TJW_RL_Andrena_7698;"";"";OK;bee;"";"";Andrenidae;Andrena;"";"";"";Schmiedeknecht, 1883;Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Ulandrena;kriechbaumeri;"";Andrena kriechbaumeri;1;"";M;Kocourek;Wood T;"";"";"";"19670530;19670530";1967-5-30;1967;5;30;1967;5;30;"";"";"";"";"";"";Bulgaria;Bulgaria;"";Melnik env;41.526993;23.391143;5000;"";"";"";provided;"";"";"";1118522.18503513|-841994.51094708;Bulgaria;5436461.92385096|2146478.41349145;WoodTJ_Andrena_2023_test.csv
European Bee DataBase;Laboratory of Zoology, University of Mons (UMONS);PULSE | SAFEGUARD;2024;WoodTJ_Andrena_2023;Thomas James Wood;Thomas James Wood;Embargoed data: access restricted until the submission and acceptance of the related data paper, after which the data will be released under http://creativecommons.org/licenses/by/4.0/.;Member of work package 5 of the WildPosh project;"";"";"";TJW_RL_Andrena_6726;"";"";OK;bee;"";"";Andrenidae;Andrena;"";"";"";(Fabricius, 1781);Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Trachandrena;haemorrhoa;"";Andrena haemorrhoa;4;"";M;Lemoine G;Wood T;"";"";"";"20190330;20190330";2019-3-30;2019;3;30;2019;3;30;"";"";"";"";"";"";France;France - France (mainland);"";SAINGHIN-EN-MÉLANTOIS, bois de la Noyelle;50.58705;3.178841;5000;"";"";"";provided;"";"";"";-480580.17611821|87395.2262492093;France;3838713.67172048|3075287.87268187;WoodTJ_Andrena_2023_test.csv
