TAXON_ERROR;TAXON_NEW;Included in ERL 2024
Chamaesyrphus lusitanica;Pelecocera lusitanica;Yes
Chamaesyrphus lusitanicus;Pelecocera lusitanica;Yes
Chamaesyrphus lustianicus;Pelecocera lusitanica;Yes
Chamaesyrphus nigricornis;Pelecocera nigricornis;Yes
Chamaesyrphus pruinosomacul;Pelecocera pruinosomaculata;Yes
Chamaesyrphus scaevoides;Pelecocera scaevoides;Yes
Chamaesyrphus tricincta;Pelecocera tricincta;Yes
Cheilosia;-;No
Cheilosia albipila;Cheilosia albipila;Yes
Cheilosia albitarsis;Cheilosia albitarsis;Yes
Cheilosia alpestris;Cheilosia alpestris;Yes
Cheilosia barbata;Cheilosia barbata;Yes
Cheilosia caerulescens;Cheilosia caerulescens;Yes
Cheilosia canicularis;Cheilosia canicularis;Yes
Cheilosia carbonaria;Cheilosia carbonaria;Yes
Cheilosia crassiseta;Cheilosia crassiseta;Yes
Cheilosia flavipes;Cheilosia flavipes;Yes
Cheilosia frontalis;Cheilosia frontalis;Yes
Cheilosia gigantea;Cheilosia gigantea;Yes
Cheilosia grisella;Cheilosia grisella;Yes
Cheilosia hercyniae;Cheilosia hercyniae;Yes
Cheilosia himantopa;Cheilosia himantopus;Yes
Cheilosia impressa;Cheilosia impressa;Yes
Cheilosia impudens;Cheilosia impudens;Yes
Cheilosia laeviventris;Cheilosia laeviventris;Yes
Cheilosia laticornis;Cheilosia laticornis;Yes
Cheilosia latifrons;Cheilosia latifrons;Yes
Cheilosia loewi;Cheilosia loewi;Yes
Cheilosia longula;Cheilosia longula;Yes
Cheilosia melanopa;Cheilosia melanopa;Yes
Cheilosia melanura;Cheilosia melanura;Yes
Cheilosia mutabilis;Cheilosia mutabilis;Yes
Cheilosia nebulosa;Cheilosia nebulosa;Yes
Cheilosia nigripes;Cheilosia nigripes;Yes
Cheilosia nivalis;Cheilosia nivalis;Yes
Cheilosia pedemontana;Cheilosia pedemontana;Yes
Cheilosia personata;Cheilosia personata;Yes
Cheilosia proxima;Cheilosia proxima;Yes
Cheilosia ranunculi;Cheilosia ranunculi;Yes
Cheilosia rhynchops;Cheilosia rhynchops;Yes
Cheilosia scutellata;Cheilosia scutellata;Yes
Cheilosia semifasciata;Cheilosia semifasciata;Yes
Cheilosia soror;Cheilosia ruffipes;Yes
Cheilosia subpictipennis;Cheilosia subpictipennis;Yes
Cheilosia urbana;Cheilosia urbanus;Yes
Cheilosia vangaveri;Cheilosia vangaveri;Yes
Cheilosia variabilis;Cheilosia variabilis;Yes
