TAXON_ERROR;TAXON_NEW;Included in ERL 2024
Epistrophe diaphana;Epistrophe diaphana;Yes
Epistrophe eligans;Epistrophe eligans;Yes
Epistrophe euchroma;Epistrophella euchroma;Yes
Epistrophe flava;Epistrophe flava;Yes
Epistrophe grossularae;Epistrophe grossulariae;Yes
Epistrophe grossulariae;Epistrophe grossulariae;Yes
Epistrophe leiophthalma;Epistrophe leiophthalma;Yes
Epistrophe leiopthalma;Epistrophe leiophthalma;Yes
Epistrophe melanostoma;Epistrophe melanostoma;Yes
Epistrophe melanostomoides;Epistrophe melanostoma;Yes
Epistrophe nitidicollis;Epistrophe nitidicollis;Yes
Epistrophe obscuripes;Epistrophe obscuripes;Yes
Epistrophe ochrostoma;Epistrophe ochrostoma;Yes
Epistrophe olgae;Epistrophe olgae;Yes
Epistrophe similis;Epistrophe obscuripes;Yes
Epistrophe sp.;-;No
Epistrophella;-;No
Epistrophella euchroma;Epistrophella euchroma;Yes
Epistrophella coronata;Epistrophella coronata;Yes
Epistrophella eligans;Epistrophe eligans;Yes
Epistrophella euchroma;Epistrophella euchroma;Yes
Episyrphus balteatus;Episyrphus balteatus;Yes
Episyrphus balteata;Episyrphus balteatus;Yes
Episyrphus balteatus;Episyrphus balteatus;Yes
Episyrphus brachycerus;-;No
Eriozona syrphoides;Eriozona syrphoides;Yes
Eriozona erratica;Megasyrphus erraticus;Yes
Eriozona erraticus;Megasyrphus erraticus;Yes
Eriozona syrphoides;Eriozona syrphoides;Yes
Erisalinus aeneus;Eristalinus aeneus;Yes
Eristalinus;-;No
Eristalinus aeneus;Eristalinus aeneus;Yes
Eristalinus sephulcralis;Eristalinus sepulchralis;Yes
Eristalinus sepulchralis;Eristalinus sepulchralis;Yes
Eristalinus taeniops;Eristalinus taeniops;Yes
Eristalinus aeneus;Eristalinus aeneus;Yes
Eristalinus aenus;Eristalinus aeneus;Yes
Eristalinus megacephalus;Eristalinus megacephalus;Yes
Eristalinus Rondani,;-;No
Eristalinus sepulchralis;Eristalinus sepulchralis;Yes
Eristalinus sepulcralis;Eristalinus sepulchralis;Yes
Eristalinus taeniata;Eristalinus taeniops;Yes
Eristalinus taeniops;Eristalinus taeniops;Yes
Eristalis;-;No
Eristalis arbustorum;Eristalis arbustorum;Yes
Eristalis nemorum;Eristalis nemorum;Yes
Eristalis similis;Eristalis similis;Yes
Eristalis tenax;Eristalis tenax;Yes
Eristalis arbustorum;Eristalis arbustorum;Yes
Eristalis horticola;Eristalis horticola;Yes
Eristalis nemorum;Eristalis nemorum;Yes
Eristalis pertinax;Eristalis pertinax;Yes
Eristalis picea;Eristalis picea;Yes
Eristalis rupium;Eristalis rupium;Yes
Eristalis similis;Eristalis similis;Yes
Eristalis tenax;Eristalis tenax;Yes
Eristalis abusiva;Eristalis abusiva;Yes
Eristalis alpina;Eristalis alpina;Yes
Eristalis alpinus;Eristalis alpina;Yes
Eristalis anthophorina;Eristalis anthophorina;Yes
Eristalis anthophorina var.;Eristalis anthophorina;Yes
Eristalis anthoporinum;Eristalis anthophorina;Yes
Eristalis arbustorum;Eristalis arbustorum;Yes
Eristalis cryptarum;Eristalis cryptarum;Yes
Eristalis fratercula;Eristalis fratercula;Yes
Eristalis gomojunovae;Eristalis gomojunovae;Yes
Eristalis hirta;Eristalis hirta;Yes
Eristalis horticola;Eristalis horticola;Yes
Eristalis interrupta;Eristalis nemorum;Yes
Eristalis intricaria;Eristalis intricaria;Yes
Eristalis intricarius;Eristalis intricaria;Yes
Eristalis jugorum;Eristalis jugorum;Yes
Eristalis Latreille,;-;No
Eristalis lineata;Eristalis horticola;Yes
Eristalis nemorum;Eristalis nemorum;Yes
Eristalis obscura;Eristalis obscura;Yes
Eristalis oestracea;Eristalis oestracea;Yes
Eristalis pertinax;Eristalis pertinax;Yes
Eristalis pertinax;Eristalis pertinax;Yes
Eristalis picea;Eristalis picea;Yes
Eristalis pigaliza;Eristalis rupium;Yes
Eristalis pratorum;Eristalis similis;Yes
Eristalis pseudorupium;Eristalis obscura;Yes
Eristalis rosica;Eristalis rossica;Yes
Eristalis rossica;Eristalis rossica;Yes
Eristalis rupium;Eristalis rupium;Yes
Eristalis sepulchralis;Eristalinus sepulchralis;Yes
Eristalis similis;Eristalis similis;Yes
Eristalis sp.;-;No
Eristalis taeniops;Eristalinus taeniops;Yes
Eristalis tecta;Eristalis tecta;Yes
Eristalis tenax;Eristalis tenax;Yes
Eristalis tundrarum;Eristalis hirta;Yes
Eristalis vallei;Eristalis fratercula;Yes
Eristalis vitripennis;Eristalis rupium;Yes
Eristalodes taeniops;Eristalinus taeniops;Yes
Eumerus;-;No
Eumerus ornatus;Eumerus ornatus;Yes
Eumerus alpinus;Eumerus alpinus;Yes
Eumerus amoenus;Eumerus amoenus;Yes
Eumerus flavitarsis;Eumerus flavitarsis;Yes
Eumerus grandis;Eumerus grandis;Yes
Eumerus ornatus;Eumerus ornatus;Yes
Eumerus sabulonum;Eumerus sabulonum;Yes
Eumerus tarsalis;Eumerus tarsalis;Yes
Eumerus tricolor;Eumerus tricolor;Yes
Eumerus ???;-;No
Eumerus aeneus;Eumerus strigatus;Yes
Eumerus aff. armatus;-;No
Eumerus aff. nigrorufus;-;No
Eumerus aff. rubrum;-;No
Eumerus aff. sulcitibius;-;No
Eumerus alpinus;Eumerus alpinus;Yes
Eumerus amoenus;Eumerus amoenus;Yes
Eumerus amoenus;Eumerus amoenus;Yes
Eumerus annulatus;Eumerus sabulonum;Yes
Eumerus arctus;Eumerus arctus;Yes
Eumerus argyropus;Eumerus argyropus;Yes
Eumerus argyropus?;-;No
Eumerus armatus;Eumerus armatus;Yes
Eumerus armatus?;-;No
Eumerus aurofinis;Eumerus aurofinis;Yes
Eumerus banaticus;Eumerus banaticus;Yes
Eumerus barbarus;Eumerus barbarus;Yes
Eumerus basalis;Eumerus basalis;Yes
Eumerus bernhardi;Eumerus argyropus;Yes
Eumerus bicornis;Eumerus bicornis;Yes
Eumerus caballeroi;Eumerus caballeroi;Yes
Eumerus canariensis;Eumerus canariensis;Yes
Eumerus claripennis;Eumerus claripennis;Yes
Eumerus clavatus;Eumerus clavatus;Yes
Eumerus consimilis;Eumerus consimilis;Yes
Eumerus consimilis?;-;No
Eumerus corollae;Eupeodes corollae;Yes
Eumerus crassus;Eumerus crassus;Yes
Eumerus crasus;Eumerus crassus;Yes
Eumerus crispus;Eumerus crispus;Yes
Eumerus dubius;Eumerus dubius;Yes
Eumerus emarginatus;Eumerus emarginatus;Yes
Eumerus etnensis;Eumerus etnensis;Yes
Eumerus fla6.tarsis;Eumerus flavitarsis;Yes
Eumerus flavitarsis;Eumerus flavitarsis;Yes
Eumerus fortis;-;No
Eumerus funeralis;Eumerus funeralis;Yes
Eumerus grandis;Eumerus grandis;Yes
Eumerus grandis;Eumerus grandis;Yes
Eumerus grandis?;-;No
Eumerus hispanicus;Eumerus hispanicus;Yes
Eumerus hispidus;Eumerus hispidus;Yes
Eumerus hungaricus;Eumerus hungaricus;Yes
Eumerus incisus;Eumerus incisus;Yes
Eumerus iris;Eumerus barbarus;Yes
Eumerus karyates;Eumerus karyates;Yes
Eumerus latitarsis;Eumerus latitarsis;Yes
Eumerus longicornis;Eumerus longicornis;Yes
Eumerus lucidus;Eumerus lucidus;Yes
Eumerus lunulatus;Eumerus strigatus;Yes
Eumerus Meigen,;-;No
Eumerus minotaurus;Eumerus minotaurus;Yes
Eumerus montanum;Eumerus montanum;Yes
Eumerus montenegrinus;-;No
Eumerus narcissi;Eumerus narcissi;Yes
Eumerus near pulchellus;-;No
Eumerus niehuisi;Eumerus niehuisi;Yes
Eumerus nigrorufus;Eumerus nigrorufus;Yes
Eumerus nigrostriatus;Eumerus etnensis;Yes
Eumerus nivarie;Eumerus nivariae;Yes
Eumerus niveitibia;Eumerus niveitibia;Yes
Eumerus niveitibia;Eumerus niveitibia;Yes
Eumerus nudus;Eumerus nudus;Yes
Eumerus obliquus;Eumerus obliquus;Yes
Eumerus olivaceus;Eumerus olivaceus;Yes
Eumerus ornatus;Eumerus ornatus;Yes
Eumerus ovatus;Eumerus ovatus;Yes
Eumerus pannonicus;Eumerus pannonicus;Yes
Eumerus phaeacus;Eumerus phaeacus;Yes
Eumerus pulchellus;Eumerus pulchellus;Yes
Eumerus pulchellus;Eumerus pulchellus;Yes
Eumerus pulchellus?;-;No
Eumerus purpurariae;Eumerus purpurariae;Yes
Eumerus purpureus;Eumerus purpureus;Yes
Eumerus pusillus;Eumerus pusillus;Yes
Eumerus richteri;Eumerus richteri;Yes
Eumerus rubrum;Eumerus rubrum;Yes
Eumerus ruficornis;Eumerus ruficornis;Yes
Eumerus rusticus;Eumerus rusticus;Yes
Eumerus sabulonum;Eumerus sabulonum;Yes
Eumerus santosabreui;Eumerus santosabreui;Yes
Eumerus sicilianus;Eumerus sicilianus;Yes
Eumerus sinuatus;Eumerus sinuatus;Yes
Eumerus sogdianus;Eumerus sogdianus;Yes
Eumerus sp;-;No
Eumerus sp 5;-;No
Eumerus sp 7;-;No
Eumerus sp 7?;-;No
Eumerus sp.;-;No
Eumerus sp. nova;-;No
Eumerus sp.?;-;No
Eumerus sp.5;-;No
Eumerus spec.;-;No
Eumerus strigatus;Eumerus strigatus;Yes
Eumerus strigatus ?;-;No
Eumerus strigatus sl;-;No
Eumerus strigatus/sogdianus;-;No
Eumerus strigatus?;-;No
Eumerus subornatus;Eumerus subornatus;Yes
Eumerus sulcitibius;Eumerus sulcitibius;Yes
Eumerus sulcitibius;Eumerus sulcitibius;Yes
Eumerus tarsalis;Eumerus tarsalis;Yes
Eumerus tarsatus;-;No
Eumerus tauricus;Eumerus tauricus;Yes
Eumerus tenuitarsis;Eumerus tenuitarsis;Yes
Eumerus torsicus;Eumerus torsicus;Yes
Eumerus tricolor;Eumerus tricolor;Yes
Eumerus truncatus;Eumerus truncatus;Yes
Eumerus truncatus?;-;No
Eumerus tuberculatus;Eumerus funeralis;Yes
Eumerus uncipes;Eumerus uncipes;Yes
Eumerus vandenberghei;Eumerus vandenberghei;Yes
Eumerus vandergooti;-;No
Eumerus vestitus;Eumerus vestitus;Yes
Eumerus amoenus;Eumerus amoenus;Yes
Eupeodes;-;No
Eupeodes corollae;Eupeodes corollae;Yes
Eupeodes lapponicus;Lapposyrphus lapponicus;Yes
Eupeodes latifasciatus;Eupeodes latifasciatus;Yes
Eupeodes luniger;Eupeodes luniger;Yes
Eupeodes nielseni;Eupeodes nielseni;Yes
Eupeodes nitens;Eupeodes nitens;Yes
Eupeodes tirolensis;Eupeodes tirolensis;Yes
Eupeodes abiskoensis;Eupeodes abiskoensis;Yes
Eupeodes aff. bucculatus;-;No
Eupeodes aff. latifasciatus;-;No
Eupeodes biciki;Eupeodes biciki;Yes
Eupeodes borealis;Eupeodes punctifer;Yes
Eupeodes bucculatus;Eupeodes frequens;Yes
Eupeodes bucculatus?;-;No
Eupeodes buculatus;Eupeodes frequens;Yes
Eupeodes cf duseki;-;No
Eupeodes cf luniger;-;No
Eupeodes cf. bucculatus;-;No
Eupeodes cf. goeldlini;-;No
Eupeodes corollae;Eupeodes corollae;Yes
Eupeodes curtus;Eupeodes curtus;Yes
Eupeodes curtus (borealis);-;No
Eupeodes duseki;Eupeodes duseki;Yes
Eupeodes flaviceps;Eupeodes flaviceps;Yes
Eupeodes flavipes;-;No
Eupeodes goeldlini;Eupeodes goeldlini;Yes
Eupeodes goeldlini?;-;No
Eupeodes interrumpens;Eupeodes nuba;Yes
Eupeodes lambecki;Eupeodes lambecki;Yes
Eupeodes lapponicus;Lapposyrphus lapponicus;Yes
Eupeodes latifasciatus;Eupeodes latifasciatus;Yes
Eupeodes latilunulatus;Eupeodes bucculatus;Yes
Eupeodes lucasi;Eupeodes lucasi;Yes
Eupeodes lundbecki;Eupeodes lundbecki;Yes
Eupeodes luniger;Eupeodes luniger;Yes
Eupeodes nielseni;Eupeodes nielseni;Yes
Eupeodes nitens;Eupeodes nitens;Yes
Eupeodes nr lucasi;-;No
Eupeodes nuba;Eupeodes nuba;Yes
Eupeodes Osten;-;No
Eupeodes punctifer;Eupeodes punctifer;Yes
Eupeodes rufipunctatus;Eupeodes rufipunctatus;Yes
Eupeodes sp;-;No
Eupeodes sp (bucculatus)?;-;No
Eupeodes sp ?;-;No
Eupeodes sp.;-;No
Eupeodes sp. flaviceps;-;No
Eupeodes spec.;-;No
Eupeodes spec. A;-;No
Eupeodes spp.;-;No
Eupeodes tirolensis;Eupeodes tirolensis;Yes
Eupeodes vandergooti;Eupeodes vandergooti;Yes
Eupeodus lapponicus;Lapposyrphus lapponicus;Yes
Eupoides? sp;-;No
Eurimyia lineata;Eurimyia lineata;Yes
Eurimyia lineata;Eurimyia lineata;Yes
Fagisyrphus cinctus;Fagisyrphus cinctus;Yes
Ferdinandea;-;No
Ferdinandea cuprea;Ferdinandea cuprea;Yes
Ferdinandea cuprea;Ferdinandea cuprea;Yes
Ferdinandea ruficornis;Ferdinandea ruficornis;Yes
Ferdinandea aurata;Ferdinandea aurea;Yes
Ferdinandea aurea;Ferdinandea aurea;Yes
Ferdinandea cuprea;Ferdinandea cuprea;Yes
Ferdinandea cyprea;Ferdinandea cuprea;Yes
Ferdinandea fumipennis;Ferdinandea fumipennis;Yes
Ferdinandea ruficornis;Ferdinandea ruficornis;Yes
genus specificEpithet;-;No
Hammerschmidtia;-;No
Hammerschmidtia ferruginea;Hammerschmidtia ferruginea;Yes
Hammerschmidtia ferruginea;Hammerschmidtia ferruginea;Yes
Hammerschmidtia ingrica;Hammerschmidtia ingrica;Yes
Helophilus;-;No
Helophilus pendulus;Helophilus pendulus;Yes
Helophilus pendulus;Helophilus pendulus;Yes
Helophilus trivittatus;Helophilus trivittatus;Yes
Helophilus affinis;Helophilus affinis;Yes
Helophilus bottnicus;Helophilus bottnicus;Yes
Helophilus continuus;Helophilus continuus;Yes
Helophilus groenlandicus;Helophilus groenlandicus;Yes
Helophilus hybridus;Helophilus hybridus;Yes
Helophilus lapponicus;Helophilus lapponicus;Yes
Helophilus lineatus;Eurimyia lineata;Yes
Helophilus Meigen,;-;No
Helophilus parallelus;Helophilus trivittatus;Yes
Helophilus pendulus;Helophilus pendulus;Yes
Helophilus sp ?;-;No
Helophilus trivittatus;Helophilus trivittatus;Yes
Heringia;-;No
Heringia heringi;Heringia heringi;Yes
Heringia latitarsis;Neocnemodon latitarsis;Yes
Heringia (Neocnemodon) sp.;-;No
Heringia adpropinquans;Heringia adpropinquans;Yes
Heringia aff. heringi;-;No
Heringia brevidens;Neocnemodon brevidens;Yes
Heringia flu6.manus;Neocnemodon fulvimanus;Yes
Heringia heringi;Heringia heringi;Yes
Heringia hispanica;Claussenia hispanica;Yes
Heringia larusi;Neocnemodon larusi;Yes
Heringia latitarsis;Neocnemodon latitarsis;Yes
Heringia maculipennis;Pipizella maculipennis;Yes
Heringia pubescens;Neocnemodon pubescens;Yes
Heringia Rondani,;-;No
Heringia senilis;Heringia heringi;Yes
Heringia sp;-;No
Heringia sp.;-;No
Heringia spec;-;No
Heringia spec.;-;No
Heringia verrucula;Neocnemodon verrucula;Yes
Heringia virens;Pipizella virens;Yes
Heringia vitripennis;Neocnemodon vitripennis;Yes
Ischiodon aegyptius;Ischiodon aegyptius;Yes
Ischiodon catalonicum;Ischiodon aegyptius;Yes
Ischiodon scutellaris;Ischiodon scutellaris;Yes
Ischyrosyrphus glaucia;Leucozona glaucia;Yes
Ischyrosyrphus glaucius;Leucozona glaucia;Yes
Ischyrosyrphus laternarius;Leucozona laternaria;Yes
Katara connexa;Katara connexa;Yes
Lapposyrphus lapponicus;Lapposyrphus lapponicus;Yes
Lejogaster metallina;Lejogaster metallina;Yes
Lejogaster tarsata;Lejogaster tarsata;Yes
Lejogaster metallina;Lejogaster metallina;Yes
Lejogaster splendida;Lejogaster tarsata;Yes
Lejogaster tarsata;Lejogaster tarsata;Yes
Lejops contracta;Anasimyia contracta;Yes
Lejops interpuncta;Anasimyia interpuncta;Yes
Lejops interpunctus;Anasimyia interpuncta;Yes
Lejops lineata;Eurimyia lineata;Yes
Lejops lineatus;Eurimyia lineata;Yes
Lejops lunulata;Anasimyia lunulata;Yes
Lejops lunulatus;Anasimyia lunulata;Yes
Lejops transfuga;Anasimyia transfuga;Yes
Lejops vittatus;Lejops vittatus;Yes
Lejops willingii;Arctosyrphus willingii;Yes
Lejota ruficornis;Lejota ruficornis;Yes
Leucozona;-;No
Leucozona glaucia;Leucozona glaucia;Yes
Leucozona lucorum;Leucozona lucorum;Yes
Leucozona glaucia;Leucozona glaucia;Yes
Leucozona glaucius;Leucozona glaucia;Yes
Leucozona inopinata;Leucozona inopinata;Yes
Leucozona laternaria;Leucozona laternaria;Yes
Leucozona laternarius;Leucozona laternaria;Yes
Leucozona locorum;Leucozona lucorum;Yes
Leucozona lucorum;Leucozona lucorum;Yes
Mallota;-;No
Mallota dusmeti;Mallota dusmeti;Yes
Mallota eurasiatica;Mallota eurasiatica;Yes
Mallota fuciformis;Mallota fuciformis;Yes
Mallota tricolor;Mallota tricolor;Yes
Mallota auricoma;Mallota auricoma;No
Mallota bicolor;Mallota bicolor;No
Mallota cimbiciformis;Mallota cimbiciformis;Yes
Mallota dushmeti;Mallota dusmeti;Yes
Mallota dusmeti;Mallota dusmeti;Yes
Mallota eurasiatica;Mallota eurasiatica;Yes
Mallota fuciformis;Mallota fuciformis;Yes
Mallota megiliformis;Mallota megilliformis;Yes
Mallota megilliformis;Mallota megilliformis;Yes
Mallota rossica;Mallota rossica;Yes
Mallota semiluctifera;Milesia semiluctifera;Yes
Mallota sp;-;No
Mallota spec.;-;No
Mallota tricolor;Mallota tricolor;Yes
Malota cimbiciformis;Mallota cimbiciformis;Yes
Megasyrphus annulipes;Megasyrphus erraticus;Yes
Megasyrphus erratica;Megasyrphus erraticus;Yes
Megasyrphus erraticus;Megasyrphus erraticus;Yes
Megasyrphus syrphoides;Eriozona syrphoides;Yes
Melangina compositarum;Melangyna compositarum;Yes
Melangina lasiophthalma;Melangyna lasiophthalma;Yes
Melangina umbellatarum;Melangyna umbellatarum;Yes
Melangyna;-;No
Melangyna barbifrons;Melangyna barbifrons;Yes
Melangyna compositarum;Melangyna compositarum;Yes
Melangyna ericarum;Melangyna ericarum;Yes
Melangyna lasiophtalma;Melangyna lasiophthalma;Yes
Melangyna umbellatarum;Melangyna umbellatarum;Yes
Melangyna arctica;Melangyna arctica;Yes
Melangyna barbifrons;Melangyna barbifrons;Yes
Melangyna cincta;Fagisyrphus cinctus;Yes
Melangyna cinctus;Fagisyrphus cinctus;Yes
Melangyna cingulata;Meligramma cingulatum;Yes
Melangyna coei;Melangyna coei;Yes
Melangyna compositarum;Melangyna compositarum;Yes
Melangyna ericarum;Melangyna ericarum;Yes
Melangyna ericarum cf????;-;No
Melangyna guttata;Meligramma guttatum;Yes
Melangyna lasiophthalma;Melangyna lasiophthalma;Yes
Melangyna lasiophthalma;Melangyna lasiophthalma;Yes
Melangyna lucifera;Melangyna lucifera;Yes
Melangyna lucifera or new s;-;No
Melangyna pavlovskyi;Melangyna pavlovskyi;Yes
Melangyna pavlowski;Melangyna pavlovskyi;Yes
Melangyna quadrimaculata;Melangyna quadrimaculata;Yes
Melangyna sexguttata;Melangyna compositarum;Yes
Melangyna spec. A;-;No
Melangyna triangulifera;Meligramma triangulifera;Yes
Melangyna ubellatarum;Melangyna umbellatarum;Yes
Melangyna umbellatarum;Melangyna umbellatarum;Yes
Melanogaster;-;No
Melanogaster aerosa;Melanogaster aerosa;Yes
Melanogaster nuda;Melanogaster nuda;Yes
Melanogaster aerosa;Melanogaster aerosa;Yes
Melanogaster cf. nuda;-;No
Melanogaster curvistylus;Melanogaster curvistylus;Yes
Melanogaster hirtella;Melanogaster hirtella;Yes
Melanogaster nuda;Melanogaster nuda;Yes
Melanogaster nuda;Melanogaster nuda;Yes
Melanogaster parumplicata;Melanogaster parumplicata;Yes
Melanogaster pipiens;-;No
Melanogaster sp;-;No
Melanogaster sp.;-;No
Melanogaster spec.;-;No
Melanogaster tumescens;Melanogaster tumescens;Yes
Melanogaster viduata;Melanogaster nuda;Yes
Melanostoma;-;No
Melanostoma mellinum;Melanostoma mellinum;Yes
Melanostoma mellinum;Melanostoma mellinum;Yes
Melanostoma scalare;Melanostoma scalare;Yes
Melanostoma aff. mellinum;-;No
Melanostoma aff.mellinum;-;No
Melanostoma certum;Melanostoma certum;Yes
Melanostoma dubium;Melanostoma certum;Yes
Melanostoma incompletum;Melanostoma incompletum;Yes
Melanostoma mellarium;Melanostoma mellarium;Yes
Melanostoma mellina;Melanostoma mellinum;Yes
Melanostoma mellinum;Melanostoma mellinum;Yes
Melanostoma mellinum agg.,;-;No
Melanostoma scalare;Melanostoma scalare;Yes
Melanostoma Schiner,;-;No
Melanostoma sclare;Melanostoma scalare;Yes
Melanostoma sp;-;No
Melanostoma sp ?;-;No
Melanostoma sp.;-;No
Melanostoma sp. 1;-;No
Melanostoma sp. 2;-;No
Melanostoma sp. 3;-;No
Melanostoma sp. n.;-;No
Melanostoma sp.?;-;No
Melanostoma sp.2;-;No
Melanostoma sp.3;-;No
Melanostoma sp.4;-;No
Melanostoma spec.;-;No
Melanostoma spec. A;-;No
Melanostoma wollastoni;Melanostoma wollastoni;Yes
Meligramma cinta;Fagisyrphus cinctus;Yes
Meligramma triangulifera;Meligramma triangulifera;Yes
Meligramma cincta;Fagisyrphus cinctus;Yes
Meligramma cinctus;Fagisyrphus cinctus;Yes
Meligramma cingulata;Meligramma cingulatum;Yes
Meligramma euchroma;Epistrophella euchroma;Yes
Meligramma guttata;Meligramma guttatum;Yes
Meligramma triangulifera;Meligramma triangulifera;Yes
Meliscae5.a cinctella;Meliscaeva cinctella;Yes
Meliscaeva;-;No
Meliscaeva auricollis;Meliscaeva auricollis;Yes
Meliscaeva cinctella;Meliscaeva cinctella;Yes
Meliscaeva auricollis;Meliscaeva auricollis;Yes
Meliscaeva cinctella;Meliscaeva cinctella;Yes
Meliscaeva cinctellus;Meliscaeva cinctella;Yes
Meliscaeva diversipes;Meliscaeva cinctella;Yes
Meliscaeva maculicornis;Meliscaeva auricollis;Yes
Melligramma triangulifera;Meligramma triangulifera;Yes
Merodon;-;No
Merodon armipes;Merodon armipes;Yes
Merodon aureus;Merodon aureus;Yes
Merodon avidus;Merodon avidus;Yes
Merodon cinereus;Merodon cinereus;Yes
Merodon constans;Merodon constans;Yes
Merodon equestris;Merodon equestris;Yes
Merodon moenium;Merodon moenium;Yes
Merodon natans;Merodon natans;Yes
Merodon obscuritarsis;Merodon obscuritarsis;Yes
Merodon rufus;Merodon rufus;Yes
Merodon serrulatus;Merodon serrulatus;Yes
Merodon ?;-;No
Merodon aberrans;Merodon aberrans;Yes
Merodon abruzzensis;Merodon abruzzensis;Yes
Merodon adriaticus;Merodon adriaticus;Yes
Merodon aeneus;Merodon aureus;Yes
Merodon aerarius;Merodon aerarius;Yes
Merodon aff. cinereus;-;No
Merodon aff. rasicus;-;No
Merodon aff. unicolor;-;No
Merodon aff. unicolor 1;-;No
Merodon alagoezicus;Merodon alagoezicus;Yes
Merodon albidus;Merodon albidus;No
Merodon albifasciatus;Merodon albifasciatus;Yes
Merodon albifrons;Merodon albifrons;Yes
Merodon albifrons;Merodon albifrons;Yes
Merodon albirfons;Merodon albifrons;Yes
Merodon alegoezicus;Merodon alagoezicus;Yes
Merodon alexandri;Merodon alexandri;Yes
Merodon alexeji;Merodon serrulatus;Yes
Merodon ambiguus;Merodon ambiguus;Yes
Merodon analis;Merodon analis;Yes
Merodon andriotes;Merodon andriotes;Yes
Merodon antonioi;Merodon antonioi;Yes
Merodon armipes;Merodon armipes;Yes
Merodon arundanum;Merodon arundanus;Yes
Merodon arundanus;Merodon arundanus;Yes
Merodon atratus;Merodon atratus;Yes
Merodon atratus-cinereus;-;No
Merodon atricapillatus;Merodon atricapillatus;Yes
Merodon aureus;Merodon aureus;Yes
Merodon aureus/calidus;-;No
Merodon aurifer;Merodon aurifer;Yes
Merodon auriolus;-;No
Merodon auripes;Merodon auripes;Yes
Merodon auripilus murorum;-;No
Merodon avidus;Merodon avidus;Yes
Merodon avidus A;-;No
Merodon avidus/moenium;-;No
Merodon baleariensis sp.n;-;No
Merodon balkanicus;Merodon balkanicus;Yes
Merodon bessarabicus;Merodon bessarabicus;Yes
Merodon bessarabicus aff (c;-;No
Merodon bolivari;Merodon unguicornis;Yes
Merodon brevitarsus;-;No
Merodon cabanerensis;Merodon cabanerensis;Yes
Merodon caerulescens;Merodon caerulescens;Yes
Merodon calcaratus;Merodon calcaratus;Yes
Merodon calidus;Merodon calidus;Yes
Merodon carpathicus;Merodon carpathicus;No
Merodon caucasicus;Merodon caucasicus;No
Merodon chalybeatus;Merodon chalybeatus;Yes
Merodon chalybeus;Merodon chalybeus;Yes
Merodon chiosicus sp. nova;-;No
Merodon chrysotrichos;Merodon chrysotrichos;Yes
Merodon cinereus;Merodon cinereus;Yes
Merodon cinereus complex;-;No
Merodon citrinus;Merodon citrinus;No
Merodon clavipes;Merodon clavipes;Yes
Merodon clavipes;Merodon clavipes;Yes
Merodon clunipes;Merodon clunipes;Yes
Merodon confinium;Merodon confinium;Yes
Merodon confusus;Merodon confusus;Yes
Merodon constans;Merodon constans;Yes
Merodon corsicus;Merodon aerarius;Yes
Merodon costans;Merodon constans;Yes
Merodon crasifemorris;Merodon crassifemoris;Yes
Merodon crassifemoris;Merodon crassifemoris;Yes
Merodon crymensis;Merodon trebevicensis;Yes
Merodon crypticus;Merodon crypticus;Yes
Merodon cyprensis;Merodon cyprensis;No
Merodon desuturinus;Merodon desuturinus;Yes
Merodon dobrogensis;Merodon dobrogensis;Yes
Merodon dzhalitae;Merodon dzhalitae;Yes
Merodon elegans;Merodon femoratus;Yes
Merodon eques;Merodon eques;Yes
Merodon equestris;Merodon equestris;Yes
Merodon erivanicus;Merodon erivanicus;Yes
Merodon erymanthius;Merodon erymanthius;Yes
Merodon escorialensis;Merodon escorialensis;Yes
Merodon euri;Merodon euri;Yes
Merodon ex-biarcuatus;-;No
Merodon femoratoides;Merodon femoratoides;Yes
Merodon femoratus;Merodon femoratus;Yes
Merodon flavicornis;Merodon flavicornis;Yes
Merodon flavitibius;Merodon flavitibius;No
Merodon flavus;Merodon flavus;Yes
Merodon flocossus sp. nova;-;No
Merodon funestus;Merodon funestus;Yes
Merodon gallicus;Merodon gallicus;Yes
Merodon geniculatus;Merodon geniculatus;Yes
Merodon haemorrhoidalis;Merodon triangulum;Yes
Merodon hamifer;Merodon hamifer;Yes
Merodon hirtus;Merodon hirtus;Yes
Merodon hoplitis;Merodon hoplitis;Yes
Merodon ibericus;Merodon ibericus;Yes
Merodon iliricus;-;No
Merodon insulae;-;No
Merodon italicus;Merodon italicus;Yes
Merodon kaloceros;Merodon erivanicus;Yes
Merodon kozufensis;Merodon kozufensis;Yes
Merodon kozufi sp. nova;Merodon kozufensis;Yes
Merodon latens;Merodon latens;No
Merodon latifemoris;Merodon latifemoris;Yes
Merodon latifrons;-;No
Merodon legionensis;Merodon legionensis;Yes
Merodon loewi;Merodon loewi;Yes
Merodon longicornis;Merodon italicus;Yes
Merodon longisetus;Merodon longisetus;Yes
Merodon longispina;Merodon longispinus;Yes
Merodon lucasi complex;-;No
Merodon luteihumerus;Merodon luteihumerus;Yes
Merodon luteofasciatus;Merodon luteofasciatus;Yes
Merodon luteomaculatus;Merodon luteomaculatus;Yes
Merodon luteomaculatus comp;-;No
Merodon luteomaculatus;Merodon luteomaculatus;Yes
Merodon lydicus sp. nova Hu;Merodon neolydicus;Yes
Merodon magnus;Merodon magnus;No
Merodon makrisi;Merodon makrisi;Yes
Merodon medium;Merodon medium;Yes
Merodon megavidus;Merodon megavidus;Yes
