TAXON_ERRORS;TAXON_NEW;Included in ERL 2024
Bombus mucidus;Bombus mucidus;Yes
Bombus mucidus mollis;Bombus mucidus;Yes
Bombus mucidus mucidus;Bombus mucidus;Yes
Bombus mucidus pittionellus;Bombus mucidus;Yes
Bombus muscorum;Bombus muscorum;Yes
Bombus muscorum ;Bombus muscorum;Yes
Bombus muscorum agricolae;Bombus muscorum;Yes
Bombus muscorum allenellus;Bombus muscorum;Yes
Bombus muscorum bannitus;Bombus muscorum;Yes
Bombus muscorum liepetterseni;Bombus muscorum;Yes
Bombus muscorum muscorum;Bombus muscorum;Yes
Bombus muscorum pereziellus;Bombus muscorum;Yes
Bombus muscorum scyllonius;Bombus muscorum;Yes
Bombus nearcticus;Bombus nearcticus;No
Bombus neoboreus;Bombus neoboreus;No
Bombus nevadensis;Bombus nevadensis;No
Bombus nigrodorsalis;Bombus nigrodorsalis;No
Bombus niveatus;Bombus niveatus;Yes
Bombus niveatus niveatus;Bombus niveatus niveatus;No
Bombus niveatus vorticosus;Bombus niveatus;Yes
Bombus norvegicus;Bombus norvegicus;Yes
Bombus norvegicus norvegicus;Bombus norvegicus;Yes
Bombus norwegicus;Bombus norvegicus;Yes
Bombus oberti;Bombus oberti;No
Bombus occidentalis;Bombus occidentalis;No
Bombus oceanicus;Bombus oceanicus;No
Bombus opifex;Bombus opifex;No
Bombus opulentus;Bombus opulentus;No
Bombus pagdeni;Bombus pagdeni;No
Bombus pascuorum;Bombus pascuorum;Yes
Bombus pascuorum ;Bombus pascuorum;Yes
Bombus pascuorum  ;Bombus pascuorum;Yes
Bombus pascuorum aff. floralis;Bombus pascuorum;Yes
Bombus pascuorum aff. pascuorum;Bombus pascuorum;Yes
Bombus pascuorum aff. smithianus;Bombus pascuorum;Yes
Bombus pascuorum bofilli;Bombus pascuorum;Yes
Bombus pascuorum dusmeti;Bombus pascuorum;Yes
Bombus pascuorum flavobarbatus;Bombus pascuorum;Yes
Bombus pascuorum floralis;Bombus pascuorum;Yes
Bombus pascuorum freygessneri;Bombus pascuorum;Yes
Bombus pascuorum gotlandicus;Bombus pascuorum;Yes
Bombus pascuorum intermedius;Bombus pascuorum;Yes
Bombus pascuorum maculatus;Bombus pascuorum;Yes
Bombus pascuorum melleofacies;Bombus pascuorum;Yes
Bombus pascuorum mniorum;Bombus pascuorum;Yes
Bombus pascuorum moorselensis;Bombus pascuorum;Yes
Bombus pascuorum olympicus;Bombus pascuorum;Yes
Bombus pascuorum pallidofacies;Bombus pascuorum;Yes
Bombus pascuorum paphlagonicus;Bombus pascuorum paphlagonicus;No
Bombus pascuorum pascuorum;Bombus pascuorum;Yes
Bombus pascuorum rehbinderi;Bombus pascuorum;Yes
Bombus pascuorum rufocitrinus;Bombus pascuorum;Yes
Bombus pascuorum rufostriatus;Bombus pascuorum;Yes
Bombus pascuorum septentrionalis;Bombus pascuorum;Yes
Bombus pascuorum siciliensis;Bombus pascuorum;Yes
Bombus pascuorum smithianus;Bombus pascuorum;Yes
Bombus pascuorum sparreanus;Bombus pascuorum;Yes
Bombus pascuorum taleshensis;Bombus pascuorum taleshensis;No
Bombus pascuorum vulgo;Bombus pascuorum;Yes
Bombus pascuorum/humilis/muscorum;-;No
Bombus patagiatus;Bombus patagiatus;Yes
Bombus patagiatus patagiatus;Bombus patagiatus;Yes
Bombus pennsylvanicus forme D;-;No
Bombus pensylvanicus;Bombus pensylvanicus;No
Bombus pensylvanicus sonorus;Bombus pensylvanicus;No
Bombus perezi;Bombus vestalis;Yes
Bombus pereziellus;Bombus muscorum;Yes
Bombus perplexus;Bombus perplexus;No
Bombus persicus;Bombus persicus;No
Bombus persicus eversmanni;Bombus persicus;No
Bombus persicus persicus;Bombus persicus;No
Bombus polaris;Bombus pyrrhopygus;Yes
Bombus polaris polaris;Bombus polaris polaris;No
Bombus polaris pyrrhopygus;Bombus pyrrhopygus;Yes
Bombus pomorum;Bombus pomorum;Yes
Bombus pomorum canus;Bombus pomorum canus;No
Bombus pomorum pomorum;Bombus pomorum;Yes
Bombus porchinsky;Bombus porchinsky;No
Bombus pratorum;Bombus pratorum;Yes
Bombus pratorum ;Bombus pratorum;Yes
Bombus pratorum pratorum;Bombus pratorum;Yes
Bombus pratorum santonae;Bombus pratorum;Yes
Bombus pratorum skorikowi;Bombus pratorum skorikowi;No
Bombus pratorum tatranus;Bombus pratorum;Yes
Bombus pseudobaicalensis;Bombus pseudobaicalensis;No
Bombus pseudoligusticus;Bombus pseudoligusticus;No
Bombus pullatus;Bombus pullatus;No
Bombus pyrenaeus;Bombus pyrenaeus;Yes
Bombus pyrenaeus afasciatus;Bombus pyrenaeus;Yes
Bombus pyrenaeus balcanicus;Bombus pyrenaeus;Yes
Bombus pyrenaeus pyrenaeus;Bombus pyrenaeus;Yes
Bombus pyrenaeus tenuifasciatus;Bombus pyrenaeus;Yes
Bombus pyrenaeus thracicus;Bombus pyrenaeus;Yes
Bombus pyrenaeus wageneri;Bombus pyrenaeus;Yes
Bombus Pyrobombus sp.;-;No
Bombus pyrrhopygus;Bombus pyrrhopygus;Yes
Bombus quadricolor;Bombus quadricolor;Yes
Bombus quadricolor arvernicus;Bombus quadricolor;Yes
Bombus quadricolor globosus;Bombus quadricolor;Yes
Bombus quadricolor meridionalis;Bombus quadricolor;Yes
Bombus quadricolor quadricolor;Bombus quadricolor;Yes
Bombus quadricolor rossicus;Bombus quadricolor;Yes
Bombus renardi;Bombus renardi;Yes
Bombus rubicundus;Bombus rubicundus;No
Bombus ruderarius;Bombus ruderarius;Yes
Bombus ruderarius ;Bombus ruderarius;Yes
Bombus ruderarius montanus;Bombus ruderarius;Yes
Bombus ruderarius ruderarius;Bombus ruderarius;Yes
Bombus ruderarius sartus;Bombus ruderarius;Yes
Bombus ruderarius simulatilis;Bombus ruderarius;Yes
Bombus ruderarius tunensis;Bombus ruderarius tunensis;No
Bombus ruderatus;Bombus ruderatus;Yes
Bombus ruderatus atrocorbiculosus;Bombus ruderatus;Yes
Bombus ruderatus autumnalis;Bombus ruderatus;Yes
Bombus ruderatus corsicola;Bombus ruderatus;Yes
Bombus ruderatus perniger;Bombus ruderatus;Yes
Bombus ruderatus rondensis;Bombus ruderatus;Yes
Bombus ruderatus ruderatus;Bombus ruderatus;Yes
Bombus ruderatus sardiniensis;Bombus ruderatus;Yes
Bombus ruderatus siculus;Bombus ruderatus;Yes
Bombus rufipes;Bombus rufipes;No
Bombus rufocinctus;Bombus rufocinctus;No
Bombus rufofasciatus;Bombus rufofasciatus;No
Bombus rupestris;Bombus rupestris;Yes
Bombus rupestris ;Bombus rupestris;Yes
Bombus rupestris armeniacus;Bombus ararantensis;No
Bombus rupestris buyssoni;Bombus rupestris;Yes
Bombus rupestris rupestris;Bombus rupestris;Yes
Bombus rupestris siculus;Bombus rupestris;Yes
Bombus rupestris vasco;Bombus rupestris;Yes
Bombus s str.;-;No
Bombus saltuarius;Bombus saltuarius;Yes
Bombus sandersoni;Bombus sandersoni;No
Bombus schrencki;Bombus schrencki;Yes
Bombus schrencki konakovi;Bombus schrencki;Yes
Bombus schrencki kuwayamai;Bombus schrencki;Yes
Bombus schrencki mironowianus;Bombus schrencki;Yes
Bombus schrencki schrencki;Bombus schrencki;Yes
Bombus semenovianus;Bombus semenovianus;No
Bombus semenoviellus;Bombus semenoviellus;Yes
Bombus sensu stricto sp.;-;No
Bombus separandus;Bombus separandus;No
Bombus serrisquama;Bombus cullumanus;Yes
Bombus sibiricus;Bombus sibiricus;No
Bombus sicheli;Bombus sichelii;Yes
Bombus sichelii;Bombus sichelii;Yes
Bombus sichelii alticola;Bombus sichelii;Yes
Bombus sichelii cazurroi;Bombus sichelii cazurroi;No
Bombus sichelii drenowskii;Bombus sichelii;Yes
Bombus sichelii erzurumensis;Bombus sichelii cazurroi;No
Bombus sichelii flavissimus;Bombus sichelii;Yes
Bombus sichelii sichelii;Bombus sichelii;Yes
Bombus sitkensis;Bombus sitkensis;No
Bombus soroeensis;Bombus soroeensis;Yes
Bombus soroeensis ;Bombus soroeensis;Yes
Bombus soroeensis ancaricus;Bombus soroeensis;Yes
Bombus soroeensis citrinus;Bombus soroeensis;Yes
Bombus soroeensis laetus;Bombus soroeensis;Yes
Bombus soroeensis lectitatus;Bombus soroeensis;Yes
Bombus soroeensis proteus;Bombus soroeensis;Yes
Bombus soroeensis radoszkowskyi;Bombus soroeensis radoszkowskyi;No
Bombus soroeensis soroeensis;Bombus soroeensis;Yes
Bombus sp.;-;No
Bombus sporadicus;Bombus sporadicus;Yes
Bombus sporadicus czerskianus;Bombus sporadicus czerskianus;No
Bombus sporadicus sporadicus;Bombus sporadicus;Yes
Bombus steindachneri;Bombus steindachneri;No
Bombus subterraneus;Bombus subterraneus;Yes
Bombus subterraneus ;Bombus subterraneus;Yes
Bombus subterraneus dlabolai;Bombus subterraneus;Yes
Bombus subterraneus latreillellus;Bombus subterraneus;Yes
Bombus subterraneus liguriensis;Bombus subterraneus;Yes
Bombus subterraneus subterraneus;Bombus subterraneus;Yes
Bombus subterraneus tectosagorum;Bombus subterraneus;Yes
Bombus suckleyi;Bombus suckleyi;No
Bombus sulfureus;Bombus sulfureus;No
Bombus sushkini;Bombus sushkini;No
Bombus sylvarum;Bombus sylvarum;Yes
Bombus sylvarum ;Bombus sylvarum;Yes
Bombus sylvarum citrinofasciatus;Bombus sylvarum;Yes
Bombus sylvarum daghestanicus;Bombus sylvarum;Yes
Bombus sylvarum nigrescens;Bombus sylvarum;Yes
Bombus sylvarum rogenhoferi;Bombus sylvarum;Yes
Bombus sylvarum sylvarum;Bombus sylvarum;Yes
Bombus sylvestris;Bombus sylvestris;Yes
Bombus sylvestris ;Bombus sylvestris;Yes
Bombus ternarius;Bombus ternarius;No
Bombus terrestris;Bombus terrestris;Yes
Bombus terrestris ;Bombus terrestris;Yes
Bombus terrestris africanus;Bombus terrestris;Yes
Bombus terrestris audax;Bombus terrestris;Yes
Bombus terrestris calabricus;Bombus terrestris;Yes
Bombus terrestris canariensis;Bombus terrestris;Yes
Bombus terrestris dalmatinus;Bombus terrestris;Yes
Bombus terrestris lusitanicus;Bombus terrestris;Yes
Bombus terrestris sassaricus;Bombus terrestris;Yes
Bombus terrestris terrestris;Bombus terrestris;Yes
Bombus terrestris/Bombus lucorum;-;No
Bombus terrestris/lucorum/cryptarum/magnus;-;No
Bombus terricola;Bombus terricola;No
Bombus tianschanicus;Bombus tianschanicus;No
Bombus tibetanus;Bombus tibetanus;No
Bombus transversalis;Bombus transversalis;No
Bombus tricornis;Bombus tricornis;No
Bombus trifasciatus;Bombus trifasciatus;No
Bombus trinominatus;Bombus trinominatus;No
Bombus truncatus;Bombus truncatus;No
Bombus tschitscherini;Bombus tschitscherini;No
Bombus tunicatus;Bombus tunicatus;No
Bombus unicus;Bombus unicus;No
Bombus ussurensis;Bombus ussurensis;No
Bombus vagans;Bombus vagans;No
Bombus velox;Bombus velox;No
Bombus vestalis;Bombus vestalis;Yes
Bombus vestalis ;Bombus vestalis;Yes
Bombus vestalis obenbergeri;Bombus vestalis;Yes
Bombus vestalis perezi;Bombus vestalis;Yes
Bombus vestalis sorgonis;Bombus vestalis;Yes
Bombus vestalis vestalis;Bombus vestalis;Yes
Bombus veteranus;Bombus veteranus;Yes
Bombus vosnesenskii;Bombus vosnesenskii;No
Bombus weisi;Bombus weisi;No
Bombus wilmattae;Bombus wilmattae;No
Bombus wurflenii;Bombus wurflenii;Yes
Bombus wurflenii apfelbecki;Bombus wurflenii;Yes
Bombus wurflenii brevigena;Bombus wurflenii;Yes
Bombus wurflenii flavicante;Bombus wurflenii;Yes
Bombus wurflenii knechteli;Bombus wurflenii;Yes
Bombus wurflenii mastrucatus;Bombus wurflenii;Yes
Bombus wurflenii uralicus;Bombus wurflenii;Yes
Bombus wurflenii wurflenii;Bombus wurflenii wurflenii;No
Bombus xanthopus;Bombus xanthopus;Yes
Bombus yezoensis;Bombus yezoensis;No
Bombus zonatus;Bombus zonatus;Yes
Bombus zonatus apicalis;Bombus zonatus;Yes
Bombus zonatus zonatus;Bombus zonatus;Yes
Borgatomelissa brevipennis;Borgatomelissa brevipennis;No
Borgatomelissa flavimaura;Borgatomelissa flavimaura;No
Borgatomelissa niveopilosa;Borgatomelissa niveopilosa;No
Braunsapis aureoscopa;Braunsapis aureoscopa;No
Braunsapis debilis;Braunsapis debilis;No
Braunsapis maxschwarzi;Braunsapis maxschwarzi;No
Braunsapis otavica;Braunsapis otavica;No
Camptopoeum  sp.;-;No
Camptopoeum abbasi;Camptopoeum abbasi;No
Camptopoeum afghanicum;Camptopoeum afghanicum;No
Camptopoeum altaicum;Camptopoeum altaicum;No
Camptopoeum armeniacum;Camptopoeum armeniacum;No
Camptopoeum bactrianum;Camptopoeum bactrianum;No
Camptopoeum baldocki;Halopanurgus baldocki;Yes
Camptopoeum clypeare;Camptopoeum clypeare;No
Camptopoeum firesei;Camptopoeum friesei;Yes
Camptopoeum friesei;Camptopoeum friesei;Yes
Camptopoeum friesei densum;Camptopoeum friesei;Yes
Camptopoeum friesei euzonum;Camptopoeum friesei;Yes
Camptopoeum friesei friesei;Camptopoeum friesei;Yes
Camptopoeum frontale;Camptopoeum frontale;Yes
Camptopoeum frontale frontale;Camptopoeum frontale;Yes
Camptopoeum frontale persicum;Camptopoeum frontale;Yes
Camptopoeum frontale triticum;Camptopoeum frontale;Yes
Camptopoeum guichardi;Camptopoeum guichardi;No
Camptopoeum handlirschi verhoeffi;Camptopoeum handlirschi;No
Camptopoeum iranellum;Camptopoeum iranellum;No
Camptopoeum khuzestanum;Camptopoeum khuzestanum;No
Camptopoeum longicephalum;Camptopoeum longicephalum;No
Camptopoeum mirabile;Camptopoeum mirabile;No
Camptopoeum nadigi;Camptopoeum nadigi;No
Camptopoeum nasutum;Camptopoeum nasutum;Yes
Camptopoeum negevense;Camptopoeum negevense;No
Camptopoeum nigrotum;Camptopoeum nigrotum;No
Camptopoeum pictipes;Camptopoeum pictipes;No
Camptopoeum pseudoruber;Camptopoeum pseudoruber;No
Camptopoeum ruber;Camptopoeum ruber;No
Camptopoeum rufiventre;Camptopoeum rufiventre;No
Camptopoeum sacrum;Camptopoeum sacrum;No
Camptopoeum samarkandum;Camptopoeum samarkandum;No
Camptopoeum schewyrewi;Camptopoeum schewyrewi;No
Camptopoeum simile;Camptopoeum simile;No
Camptopoeum simile scutellare;Camptopoeum simile;No
Camptopoeum sp.;-;No
Camptopoeum steinbergi;Camptopoeum steinbergi;No
Camptopoeum subflavum;Camptopoeum subflavum;No
Camptopoeum variegatum;Camptopoeum variegatum;Yes
Camptopoeum variegatum berberum;Camptopoeum variegatum;Yes
Camptopoeum variegatum graecum;Camptopoeum variegatum;Yes
Camptopoeum variegatum israelense;Camptopoeum variegatum;Yes
Camptopoeum variegatum kilikae;Camptopoeum variegatum;Yes
Camptopoeum variegatum variegatum;Camptopoeum variegatum;Yes
Camptopoeum warnekei;Camptopoeum warnckei;No
Cellariella brooksi;Cellariella brooksi;No
Cellariella fulviventris;Cellariella fulviventris;No
Cellariella inexpectata;Cellariella inexpectata;No
Cellariella schwarzi;Cellariella schwarzi;No
Cellariella somalica;Cellariella somalica;No
Centris (Heterocentris) sp.;-;No
Centris (Ptilotopus) sp.;-;No
Centris (Schistemina) sp.;-;No
Centris nigerrima;Centris nigerrima;No
Ceratina  sp.;-;No
Ceratina (Ctenoceratina) sp.;-;No
Ceratina (Euceratina) sp.;-;No
Ceratina (Megaceratina) sp.;-;No
Ceratina acuta;Ceratina acuta;Yes
Ceratina alakolensis;Ceratina alakolensis;No
Ceratina albosticta;Ceratina albosticta;Yes
Ceratina albosticta ;Ceratina albosticta;Yes
Ceratina bifida;Ceratina bifida;No
Ceratina bispinosa;Ceratina bispinosa;Yes
Ceratina callosa;Ceratina callosa;Yes
Ceratina chalcites;Ceratina chalcites;Yes
Ceratina chalcites assoroensis;Ceratina chalcites;Yes
Ceratina chalcites chalcites;Ceratina chalcites;Yes
Ceratina chalcites ebmeri;Ceratina chalcites;Yes
Ceratina chalybea;Ceratina chalybea;Yes
Ceratina christellae;Ceratina christellae;No
Ceratina chrysomalla;Ceratina chrysomalla;Yes
Ceratina citriphila;Ceratina citriphila;No
Ceratina cucurbitina;Ceratina cucurbitina;Yes
Ceratina cyanea;Ceratina cyanea;Yes
Ceratina cyanea ;Ceratina cyanea;Yes
Ceratina cypriaca;Ceratina cypriaca;Yes
Ceratina dallatorreana;Ceratina dallatorreana;Yes
Ceratina denesi;Ceratina denesi;No
Ceratina dentipes;Ceratina dentipes;No
Ceratina dentiventris;Ceratina dentiventris;Yes
Ceratina ericia;Ceratina ericia;No
Ceratina esakii;Ceratina esakii;No
Ceratina ferghanica;Ceratina ferghanica;No
Ceratina flavipes;Ceratina flavipes;No
Ceratina gravidula;Ceratina gravidula;Yes
Ceratina guichardi;Ceratina guichardi;No
Ceratina hakkarica;Ceratina hakkarica;No
Ceratina haladai;Ceratina haladai;No
Ceratina hieratica;Ceratina hieratica;No
Ceratina hladili;Ceratina hladili;No
Ceratina iwatai;Ceratina iwatai;No
Ceratina japonica;Ceratina japonica;No
Ceratina kocoureki;Ceratina kocoureki;No
Ceratina laevifrons;Ceratina laevifrons;No
Ceratina loewi;Ceratina loewi;Yes
Ceratina loewi ;Ceratina loewi;Yes
Ceratina maghrebensis;Ceratina maghrebensis;No
Ceratina mandibularis;Ceratina mandibularis;Yes
Ceratina mandibularis ;Ceratina mandibularis;Yes
Ceratina megastigmata;Ceratina megastigmata;No
Ceratina mocsaryi;Ceratina mocsaryi;Yes
Ceratina moerenhouti;Ceratina moerenhouti;No
Ceratina moricei;Ceratina moricei;Yes
Ceratina neocallosa;Ceratina neocallosa;No
Ceratina nigra;Ceratina nigra;No
Ceratina nigroaenea;Ceratina nigroaenea;Yes
Ceratina nigroaenea dayi;Ceratina nigroaenea;Yes
Ceratina nigroaenea nigroaenea;Ceratina nigroaenea;Yes
Ceratina nigrolabiata;Ceratina nigrolabiata;Yes
Ceratina okinawana;Ceratina okinawana;No
Ceratina parvula;Ceratina parvula;Yes
Ceratina paulyi;Ceratina paulyi;No
Ceratina penicillata;Ceratina penicillata;No
Ceratina rasmonti;Ceratina rasmonti;No
Ceratina rudanensis;Ceratina rudanensis;No
Ceratina sakagamii;Ceratina sakagamii;Yes
Ceratina satoi;Ceratina satoi;No
Ceratina saundersi;Ceratina saundersi;Yes
Ceratina sauteri;Ceratina sauteri;No
Ceratina schwarzi;Ceratina schwarzi;Yes
Ceratina schwarziana;Ceratina schwarziana;No
Ceratina smaragdula;Ceratina smaragdula;No
Ceratina sp.;-;No
Ceratina tarsata;Ceratina tarsata;Yes
Ceratina teunisseni;Ceratina teunisseni;Yes
Ceratina teunisseni ;Ceratina teunisseni;Yes
Ceratina tibialis;Ceratina tibialis;No
Ceratina verhoeffi;Ceratina verhoeffi;No
Ceratina warnckei;Ceratina warnckei;No
Ceratina zandeni;Ceratina zandeni;Yes
Ceratina zandeni ;Ceratina zandeni;Yes
Ceratina zwakhalsi;Ceratina zwakhalsi;No
Ceylalictus  sp.;-;No
Ceylalictus capverdensis;Ceylalictus capverdensis;No
Ceylalictus congoensis;Ceylalictus congoensis;No
Ceylalictus desertorum;Ceylalictus desertorum;No
Ceylalictus grandior;Ceylalictus grandior;No
Ceylalictus halictoides;Ceylalictus halictoides;No
Ceylalictus karachensis;Ceylalictus karachensis;No
Ceylalictus muiri;Ceylalictus muiri;No
Ceylalictus punjabensis;Ceylalictus punjabensis;No
Ceylalictus variegatus;Ceylalictus variegatus;Yes
Ceylalictus variegatus ;Ceylalictus variegatus;Yes
Ceylhalictus variegatus;Ceylalictus variegatus;Yes
Chalicodoma  sp.;-;No
Chalicodoma (Chalicodoma) sp.;-;No
Chalicodoma albocristata;Megachile albocristata;Yes
Chalicodoma albonotata;Megachile albonotata;Yes
Chalicodoma albonotata setulosa;Megachile albonotata;Yes
Chalicodoma apennina;Megachile apennina;Yes
Chalicodoma baetica;Megachile baetica;Yes
Chalicodoma cincta cincta;Megachile binominata;Yes
Chalicodoma cincta nigrocincta;Megachile binominata;Yes
Chalicodoma cincta tricolor;Megachile binominata;Yes
Chalicodoma congruens;Megachile schulthessi;No
Chalicodoma corsica;Megachile sicula;Yes
Chalicodoma ericetorum;Megachile ericetorum;Yes
Chalicodoma ericetorum ;Megachile ericetorum;Yes
Chalicodoma lefebvrei;Megachile lefebvrei;Yes
Chalicodoma lefebvrei albida;Megachile lefebvrei;Yes
Chalicodoma lucidifrons;Megachile lucidifrons;Yes
Chalicodoma mephistolica;Megachile mephistolica;No
Chalicodoma parietina;Megachile parietina;Yes
Chalicodoma parietina nestorea;Megachile parietina;Yes
Chalicodoma parietina parietina;Megachile parietina;Yes
Chalicodoma pyrenaica;Megachile pyrenaica;Yes
Chalicodoma pyrenaica alpina;Megachile pyrenaica;Yes
Chalicodoma pyrenaica pyrenaica;Megachile pyrenaica;Yes
Chalicodoma rufescens;Megachile rufescens;Yes
Chalicodoma rufipes;Megachile rufipes;No
Chalicodoma sicula;Megachile sicula;Yes
Chalicodoma sicula hiendlmayri;Megachile sicula;Yes
Chalicodoma sicula perezi;Megachile sicula;Yes
Chalicodoma sicula sicula;Megachile sicula;Yes
Chalicodoma sp.;-;No
Chalicodoma torrida;Megachile torrida;No
Chalicodoma torrida torrida;Megachile torrida;No
Chelostoma;-;No
Chelostoma  sp.;-;No
Chelostoma (Chelostoma) florisomne;Chelostoma florisomne;Yes
Chelostoma (Chelostoma) mocsaryi;Chelostoma mocsaryi;Yes
Chelostoma (Foveosmia) campanularum;Chelostoma campanularum;Yes
Chelostoma (Foveosmia) distinctum;Chelostoma distinctum;Yes
Chelostoma (Gyrodromella) rapunculi;Chelostoma rapunculi;Yes
Chelostoma aegaeicum;Chelostoma aegaeicum;Yes
Chelostoma appendiculatum;Chelostoma emarginatum;Yes
Chelostoma californicum;Chelostoma californicum;No
Chelostoma campanularum;Chelostoma campanularum;Yes
Chelostoma campanularum ;Chelostoma campanularum;Yes
Chelostoma clypeale;Chelostoma clypeale;No
Chelostoma comosum;Chelostoma comosum;Yes
Chelostoma comosum ;Chelostoma comosum;Yes
Chelostoma diodon;Chelostoma diodon;Yes
Chelostoma diodon ;Chelostoma diodon;Yes
Chelostoma diodon cypriacum ;Chelostoma diodon;Yes
Chelostoma distinctum;Chelostoma distinctum;Yes
Chelostoma distinctum ;Chelostoma distinctum;Yes
Chelostoma distinctus;Chelostoma distinctum;Yes
Chelostoma edentulum;Chelostoma edentulum;Yes
Chelostoma emarginatum;Chelostoma emarginatum;Yes
Chelostoma florisomne;Chelostoma florisomne;Yes
Chelostoma florisomne ;Chelostoma florisomne;Yes
Chelostoma florisomne  ;Chelostoma florisomne;Yes
Chelostoma forcipatum;Chelostoma forcipatum;Yes
Chelostoma foveolatum;Chelostoma foveolatum;Yes
Chelostoma fuliginosum;Chelostoma rapunculi;Yes
Chelostoma grande;Chelostoma grande;Yes
Chelostoma grande ;Chelostoma grande;Yes
Chelostoma handlirschi;Chelostoma handlirschi;Yes
Chelostoma handlirschi ;Chelostoma handlirschi;Yes
Chelostoma hellenicum;Chelostoma hellenicum;Yes
Chelostoma hellenicum ;Chelostoma hellenicum;Yes
Chelostoma incognitum;Chelostoma incognitum;Yes
Chelostoma inerme;Chelostoma rapunculi;Yes
Chelostoma laticaudum;Chelostoma laticaudum;Yes
Chelostoma laticaudum ;Chelostoma laticaudum;Yes
Chelostoma longifacies;Chelostoma longifacies;Yes
Chelostoma lucens;Chelostoma lucens;Yes
Chelostoma mocsaryi;Chelostoma mocsaryi;Yes
Chelostoma mocsaryi ;Chelostoma mocsaryi;Yes
Chelostoma mocsaryl;Chelostoma mocsaryi;Yes
Chelostoma nasutum;Chelostoma nasutum;Yes
Chelostoma proximum;Chelostoma rapunculi;Yes
Chelostoma ranunculi;Chelostoma rapunculi;Yes
Chelostoma rapunculi;Chelostoma rapunculi;Yes
Chelostoma rapunculi ;Chelostoma rapunculi;Yes
Chelostoma sp.;-;No
Chelostoma sp. 1;-;No
Chelostoma sp. 2;-;No
Chelostoma stefanii;Chelostoma stefanii;Yes
Chelostoma styriacum;Chelostoma styriacum;Yes
Chelostoma tansum;Chelostoma tonsum;No
Chelostoma transversum;Chelostoma transversum;Yes
Chelostoma ventrale;Chelostoma ventrale;Yes
Chelostoma ventrale ;Chelostoma ventrale;Yes
Chiasmognathus nearchus;Chiasmognathus nearchus;No
Chiasmognathus orientanus;Chiasmognathus orientanus;Yes
Clavipanurgus anatolicus;Clavipanurgus anatolicus;No
Clavipanurgus clavatus;Clavipanurgus clavatus;No
Clavipanurgus desertus;Clavipanurgus desertus;No
Clavipanurgus eurystylus;Clavipanurgus eurystylus;No
Clavipanurgus gusenleitneri;Clavipanurgus gusenleitneri;No
Clavipanurgus impressus;Clavipanurgus impressus;No
Clavipanurgus orientalicus;Clavipanurgus orientalicus;No
Clavipanurgus punctiventris;Clavipanurgus punctiventris;No
Clavipanurgus sculpturatus;Clavipanurgus sculpturatus;Yes
Clavipanurgus sculpturatus balcanicus;Clavipanurgus sculpturatus;Yes
Clavipanurgus sculpturatus magnus;Clavipanurgus sculpturatus;Yes
Clavipanurgus stylus;Clavipanurgus stylus;No
Coelioxys;-;No
Coelioxys  sp.;-;No
Coelioxys (Acrocoelioxys) sp.;-;No
Coelioxys (Allocoelioxys) afra;Coelioxys afer;Yes
Coelioxys (Allocoelioxys) brevis;Coelioxys brevis;Yes
Coelioxys (Allocoelioxys) caudata;Coelioxys caudatus;Yes
Coelioxys (Allocoelioxys) polycentris;Coelioxys polycentris;Yes
Coelioxys (Coelioxys) aurolimbata;Coelioxys aurolimbatus;Yes
Coelioxys (Coelioxys) conoidea;Coelioxys conoideus;Yes
Coelioxys (Coelioxys) quadridentata;Coelioxys quadridentatus;Yes
Coelioxys (Mesocoelioxys) argenteus;Coelioxys argenteus;Yes
Coelioxys acanthopyga;Coelioxys acanthopyga;Yes
Coelioxys acanthura;Coelioxys acanthurus;Yes
Coelioxys acanthurus;Coelioxys acanthurus;Yes
Coelioxys afer;Coelioxys afer;Yes
Coelioxys afer ;Coelioxys afer;Yes
Coelioxys afra;Coelioxys afer;Yes
Coelioxys afro;Coelioxys afer;Yes
Coelioxys alata;Coelioxys alatus;Yes
Coelioxys alatus;Coelioxys alatus;Yes
Coelioxys argentea;Coelioxys argenteus;Yes
Coelioxys argenteus;Coelioxys argenteus;Yes
Coelioxys artemis;Coelioxys artemis;Yes
Coelioxys aurolimbata;Coelioxys aurolimbatus;Yes
Coelioxys aurolimbatus;Coelioxys aurolimbatus;Yes
Coelioxys brevis;Coelioxys brevis;Yes
Coelioxys caudata;Coelioxys caudatus;Yes
Coelioxys caudatus;Coelioxys caudatus;Yes
Coelioxys cfr. elongata;-;No
Coelioxys cfr. elytrura;-;No
Coelioxys cfr. octodentata;-;No
Coelioxys cfr. osmiae;-;No
Coelioxys conica;Coelioxys quadridentatus;Yes
Coelioxys conicus;Coelioxys quadridentatus;Yes
Coelioxys conoidea;Coelioxys conoideus;Yes
Coelioxys conoideus;Coelioxys conoideus;Yes
Coelioxys coturnix;Coelioxys coturnix;Yes
Coelioxys decipiens;Coelioxys decipiens;Yes
Coelioxys ducalis;Coelioxys ducalis;No
Coelioxys echinata;Coelioxys echinatus;Yes
Coelioxys echinata ;Coelioxys echinatus;Yes
Coelioxys echinatus;Coelioxys echinatus;Yes
Coelioxys elongata;Coelioxys elongatus;Yes
Coelioxys elongatus;Coelioxys elongatus;Yes
Coelioxys elsei;Coelioxys elsei;Yes
Coelioxys emarginata;Coelioxys emarginatus;Yes
Coelioxys emarginatus;Coelioxys emarginatus;Yes
Coelioxys galactiae;Coelioxys galactiae;No
