TAXON_ERRORS;TAXON_NEW;Included in ERL 2024
Colletes hylaeformis;Colletes hylaeiformis;Yes
Colletes kozlovi;Colletes kozlovi;Yes
Hylaeus azorae;Hylaeus azorae;Yes
Hylaeus diffiformis;Hylaeus difformis;Yes
Hylaeus gazagnairei;Hylaeus gazagnairei;Yes
Hylaeus milossus;Hylaeus hyalinatus;Yes
Hylaeus hyrcanius;Hylaeus hyrcanius;Yes
Hylaeus longimacula;Hylaeus longimaculus;Yes
Hylaeus mariannae;Hylaeus mariannae;Yes
Hylaeus moniae;Hylaeus moniae;Yes
Hylaeus breviceps;Hylaeus pallidicornis;Yes
Hylaeus purpurissatus;Hylaeus purpurissatus;Yes
Prosopis stigmorhina;Hylaeus purpurissatus;Yes
Hylaeus scutellaris;Hylaeus scutellaris;Yes
Halictus candiae;Halictus candiae;Yes
Lasioglossum andromeda;Lasioglossum andromeda;Yes
Lasioglossum chalcodes;Lasioglossum chalcodes;Yes
Lasioglossum discus;Lasioglossum discus;Yes
Lasioglossum epipygiale;Lasioglossum epipygiale;Yes
Lasioglossum euxanthopus;Lasioglossum euxanthopus;Yes
Lasioglossum gilanum;Lasioglossum gilanum;Yes
Lasioglossum haesitans;Lasioglossum haesitans;Yes
Lasioglossum kirgisicum;Lasioglossum kirgisicum;Yes
Lasioglossum loetum;Lasioglossum loetum;Yes
Lasioglossum pallidum;Lasioglossum pallidum;Yes
Lasioglossum salinum;Lasioglossum salinum;Yes
Lasioglossum sphecidomorphum;Lasioglossum sphecodimorphum;Yes
Lasioglossum tungusicum;Lasioglossum tungusicum;Yes
Nomiapis rufiventris;Nomiapis rufiventris;Yes
Nomioides chalybeatus;Nomioides chalybeatus;Yes
Nomioides deceptor;Nomioides deceptor;Yes
Halictus cephalicus;Seladonia cephalica;Yes
Halictus concinnus;Seladonia concinna;Yes
Halictus cretella;Seladonia cretella;Yes
Halictus gemellus;Seladonia gemmella;Yes
Halictus gemmella;Seladonia gemmella;Yes
Seladonia inpilosa;Seladonia inpilosa;Yes
Halictus kessleri;Seladonia kessleri;Yes
Seladonia nivalis;Seladonia leucahenea;Yes
Seladonia mucorea;Seladonia mucorea;Yes
Vestitohalictus mucoreus;Seladonia mucorea;Yes
Halictus orientana;Seladonia orientana;Yes
Halictus phryganica;Seladonia phryganica;Yes
Vestitohalictus pseudomucoreus;Seladonia pseudomucorea;Yes
Seladonia pulverea;Seladonia pulverea;Yes
Seladonia semitica;Seladonia semitica;Yes
Halictus tuberculatus;Seladonia tuberculata;Yes
Seladonia tuberculata;Seladonia tuberculata;Yes
Sphecodes aetnensis;Sphecodes aetnensis;Yes
Sphecodes atlanticus;Sphecodes atlanticus;Yes
Sphecodes banaszaki;Sphecodes combai;Yes
Sphecodes iosephi;Sphecodes combai;Yes
Sphecodes marcellinoi;Sphecodes combai;Yes
Sphecodes tomarchioi;Sphecodes combai;Yes
Sphecodes walteri;Sphecodes combai;Yes
Systropha grandimargo;Systropha grandimargo;Yes
Afranthidium malacopygum;Afranthidium carduele;Yes
Anthidium caspicum;Anthidium caspicum;Yes
Chelostoma siciliae;Chelostoma stefanii;Yes
Coelioxys elegantula;Coelioxys elegantulus;Yes
Coelioxys elegantulus;Coelioxys elegantulus;Yes
Coelioxys elongatula;Coelioxys elongatulus;Yes
Coelioxys elongatulus;Coelioxys elongatulus;Yes
Coelioxys mielbergi;Coelioxys mielbergi;Yes
Dioxys atlanticus;Dioxys atlantica;Yes
Dioxys lanzarotensis;Dioxys lanzarotensis;Yes
Ensliniana bidentata;Ensliniana bidentata;Yes
Eoanthidium nasiculum;Eoanthidium nasiculum;Yes
Eoanthidium nasicum;Eoanthidium nasiculum;Yes
Hoplitis agis;Hoplitis agis;Yes
Hoplitis anipuncta;Hoplitis anipuncta;Yes
Anthocopa yermasoyiae corcyraea;Hoplitis corcyraea;Yes
Hoplitis corcyraea;Hoplitis corcyraea;Yes
Hoplitis fulva;Hoplitis fulva;Yes
Hoplitis galbula;Hoplitis galbula;Yes
Hoplitis galichicae;Hoplitis galichicae;Yes
Hoplitis jheringii;Hoplitis jheringii;Yes
Hoplitis monticola;Hoplitis monticola;Yes
Hoplitis parnesica;Hoplitis parnesica;Yes
Hoplitis peniculifera;Hoplitis peniculifera;Yes
Hoplitis anthocopoides perambigua;Hoplitis perambigua;Yes
Hoplitis princeps;Hoplitis princeps;Yes
Hoplitis quinquespinosa;Hoplitis quinquespinosa;Yes
Hoplitis mucida stecki;Hoplitis stecki;Yes
Hoplitis stellaris;Hoplitis stellaris;Yes
Hoplitis strymonia;Hoplitis strymonia;Yes
Hoplitis abnormis;Hoplitis subbutea;Yes
Hoplitis taurica;Hoplitis taurica;Yes
Hoplitis teucrii;Hoplitis teucrii;Yes
Hoplitis turcestanica;Hoplitis turcestanica;Yes
Hoplitis zandeni;Hoplitis zandeni;Yes
Megachile lanigera;Megachile albohirta;Yes
Megachile larochei;Megachile albohirta;Yes
Megachile apennina;Megachile apennina;Yes
Megachile binominata;Megachile binominata;Yes
Megachile canariensis;Megachile canariensis;Yes
Megachile cressa;Megachile cressa;Yes
Megachile disjunctiformis;Megachile disjunctiformis;Yes
Megachile heinrichi;Megachile doriae;Yes
Megachile rhodosiaca;Megachile doriae;Yes
Megachile fuerteventurae;Megachile fuerteventurae;Yes
Megachile atlantica;Megachile giraudi;Yes
Megachile hohmanni;Megachile hohmanni;Yes
Megachile inexspectata;Megachile inexspectata;Yes
Megachile bioculata;Megachile leachella;Yes
Megachile discriminata;Megachile leachella;Yes
Megachile ichnusae;Megachile leachella;Yes
Megachile lucidifrons;Megachile lucidifrons;Yes
Megachile sexmaculata;Megachile melanogaster;Yes
Megachile otomita;Megachile otomita;Yes
Megachile roeweri;Megachile roeweri;Yes
Megachile syriaca;Megachile syriaca;Yes
Megachile tecta;Megachile tecta;Yes
Megachile tenuistriga;Megachile tenuistriga;Yes
Megachile semipleta;Megachile versicolor;Yes
Megachile striatella;Megachile pusilla;Yes
Metadioxys graecus;Metadioxys graecus;Yes
Osmia alfkenii;Osmia alfkenii;Yes
Osmia corniculata;Osmia corniculata;Yes
Osmia dusmeti;Osmia dusmeti;Yes
Osmia larochei;Osmia larochei;Yes
Osmia olgae;Osmia olgae;Yes
Osmia palmae;Osmia palmae;Yes
Osmia pinguis;Osmia pinguis;Yes
Paradioxys pannonica;Paradioxys pannonicus;Yes
Pseudoanthidium canariense;Pseudoanthidium canariense;Yes
Pseudoanthidium kaspareki;Pseudoanthidium kaspareki;Yes
Rhodanthidium acuminatum;Rhodanthidium acuminatum;Yes
Rhodanthidium ducale;Rhodanthidium caturigense;Yes
Anthidium septemdentatum rufocinctum;Rhodanthidium rufocinctum;Yes
Rhodanthidium rufocinctum;Rhodanthidium rufocinctum;Yes
Rhodanthidium septemdentatum ruficinctum;Rhodanthidium rufocinctum;Yes
Stelis aculeata;Stelis aculeata;Yes
Stelis denticulata;Stelis denticulata;Yes
Stelis hispanica;Stelis hispanica;Yes
Stelis hungarica;Stelis hungarica;Yes
Stelis iugae;Stelis iugae;Yes
