order;family;subfamily;tribe;genus;subgenus;specificEpithet;scientificName;scientificNameAuthorship
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Micrandrena;biarmica;Andrena biarmica;Warncke, 1975
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Euandrena ;bicolor;Andrena bicolor;Fabricius, 1775
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Melandrena ;bicolorata;Andrena bicolorata;(Rossi, 1790)
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Ulandrena;biguttata;Andrena biguttata;Friese, 1923
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Plastandrena ;bimaculata;Andrena bimaculata;(Kirby, 1802)
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Notandrena ;binominata;Andrena binominata;Smith, 1853
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Aenandrena;bisulcata;Andrena bisulcata;Morawitz, 1877
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;incertae sedis;blanda;Andrena blanda;Pérez, 1895
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Chlorandrena ;boyerella;Andrena boyerella;Dours, 1872
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Pallandrena ;braunsiana;Andrena braunsiana;Friese, 1887
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Cryptandrena ;brumanensis;Andrena brumanensis;Friese, 1899
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Hoplandrena ;bucephala;Andrena bucephala;Stephens, 1846
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Truncandrena ;caneae;Andrena caneae;Strand, 1915
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Micrandrena;caneibia;Andrena caneibia;Strand, 1915
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Avandrena;canohirta;Andrena canohirta;(Friese, 1923)
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Ulandrena;cantiaca;Andrena cantiaca;Warncke, 1975
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Euandrena ;capillosa;Andrena capillosa;Morawitz, 1876
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Lepidandrena ;caprimulga;Andrena caprimulga;Warncke, 1975
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Micrandrena;catula;Andrena catula;Warncke, 1968
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Micrandrena;cervina;Andrena cervina;Warncke, 1975
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Aenandrena;chaetogastra;Andrena chaetogastra;Pittioni, 1950
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;incertae sedis;chalcogastra;Andrena chalcogastra;Brullé, 1839
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Aciandrena;chelma;Andrena chelma;Warncke, 1975
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Aciandrena;chersona;Andrena chersona;Warncke, 1972
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Euandrena ;chrysopus;Andrena chrysopus;Pérez, 1903
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Melandrena ;chrysopyga;Andrena chrysopyga;Schenck, 1853
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Notandrena ;chrysosceles;Andrena chrysosceles;(Kirby, 1802)
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Simandrena ;cilissaeformis;Andrena cilissaeformis;Pérez, 1895
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Melandrena ;cineraria;Andrena cineraria;(Linnaeus, 1758)
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Chlorandrena ;cinerea;Andrena cinerea;Brullé, 1832
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Chlorandrena ;cinereophila;Andrena cinereophila;Warncke, 1965
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Andrena ;clarkella;Andrena clarkella;(Kirby, 1802)
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Hoplandrena ;clusia;Andrena clusia;Warncke, 1966
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Chlorandrena ;clypella;Andrena clypella;Strand, 1921
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Oreomelissa ;coitana;Andrena coitana;(Kirby, 1802)
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Brachyandrena ;colletiformis;Andrena colletiformis;Morawitz, 1873
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Chrysandrena ;colonialis;Andrena colonialis;Morawitz, 1886
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Ulandrena;combaella;Andrena combaella;Warncke, 1966
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Simandrena ;combinata;Andrena combinata;(Christ, 1791)
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Nobandrena ;compta;Andrena compta;Lepeletier, 1841
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Melandrena ;comta;Andrena comta;Eversmann, 1852
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Ulandrena;concinna;Andrena concinna;Smith, 1853
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Simandrena ;confinis;Andrena confinis;Stöckhert, 1930
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Simandrena ;congruens;Andrena congruens;Schmiedeknecht, 1884
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Taeniandrena ;contracta;Andrena contracta;Wood, 2022
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;incertae sedis;corax;Andrena corax;Warncke, 1967
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Cordandrena ;cordialis;Andrena cordialis;Morawitz, 1877
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Micrandrena;corssubalpina;Andrena corssubalpina;Theunert, 2006
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Poecilandrena ;crassana;Andrena crassana;Warncke, 1965
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Ulandrena;crecca;Andrena crecca;Warncke, 1965
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Chlorandrena ;"crepidis
";Andrena crepidis;Schwenninger, 2015
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Euandrena ;croatica;Andrena croatica;Friese, 1887
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Taeniandrena ;croceiventris ;Andrena croceiventris;Morawitz, 1871
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;incertae sedis;curiosa;Andrena curiosa;(Morawitz, 1877)
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Chlorandrena ;curtivalvis;Andrena curtivalvis;Morice, 1899
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Notandrena ;curvana;Andrena curvana;Warncke, 1965
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Lepidandrena ;curvungula;Andrena curvungula;Thomson, 1870
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Melandrena ;cussariensis;Andrena cussariensis;Morawitz, 1886
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Suandrena ;cyanomicans;Andrena cyanomicans;Pérez, 1895
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Cordandrena ;cypria;Andrena cypria;Pittioni, 1950
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Chlorandrena ;damara;Andrena damara;Warncke, 1968
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Melandrena ;danuvia;Andrena danuvia;Stöckhert, 1950
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Micrandrena;dargia;Andrena dargia;Warncke, 1965
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Holandrena ;decipiens;Andrena decipiens;Schenck, 1861
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Truncandrena ;delphiensis;Andrena delphiensis;Warncke, 1965
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Cnemidandrena ;denticulata;Andrena denticulata;(Kirby, 1802)
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Parandrenella ;dentiventris;Andrena dentiventris;Morawitz, 1873
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Leucandrena ;dinizi;Andrena dinizi;Warncke, 1975
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Melandrena ;discors;Andrena discors;Erichson, 1841
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Micrandrena;distinguenda;Andrena distinguenda;Schenck, 1871
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Micrandrena;djelfensis;Andrena djelfensis;Pérez, 1895
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Lepidandrena ;dorsalis;Andrena dorsalis;Brullé, 1832
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Simandrena ;dorsata;Andrena dorsata;(Kirby, 1802)
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Micrandrena;dourada;Andrena dourada;Kratochwil & Scheuchl, 2013
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Truncandrena ;doursana;Andrena doursana;Dufour, 1853
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Melandrena ;dubiosa;Andrena dubiosa;Kohl, 1905
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;incertae sedis;ebmerella;Andrena ebmerella;Scheuchl, 2011
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Tarsandrena ;ehnbergi;Andrena ehnbergi;Morawitz, 1888
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Chlorandrena ;elata;Andrena elata;Warncke, 1975
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Ulandrena;elegans;Andrena elegans;Giraud, 1863
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Melandrena ;elmaria;Andrena elmaria;Gusenleitner, 1998
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Micrandrena;enslinella;Andrena enslinella;Stöckhert, 1924
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Campylogaster ;erberi;Andrena erberi;Morawitz, 1871
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Avandrena;erodiorum;Andrena erodiorum;Wood & Ortiz-Sánchez, 2022
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Taeniandrena ;evermanniana;Andrena eversmanniana;Osytshnjuk, 1994
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Micrandrena;exigua;Andrena exigua;Erichson, 1835
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Chlorandrena ;exquisita;Andrena exquisita;Warncke, 1975
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Micrandrena;fabrella;Andrena fabrella;Pérez, 1903
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Notandrena ;falcinella;Andrena falcinella;Warncke, 1975
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Leimelissa ;fallax;Andrena fallax;Eversmann, 1852
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Micrandrena;falsifica;Andrena falsifica;Perkins, 1915
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;incertae sedis;farinosa;Andrena farinosa;Pérez, 1895
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Hoplandrena ;ferox;Andrena ferox;Smith, 1847
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Truncandrena ;ferrugineicrus;Andrena ferrugineicrus;Dours, 1872
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Chrysandrena ;fertoni;Andrena fertoni;Pérez, 1895
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Parandrenella ;figurata;Andrena figurata;Morawitz, 1866
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Holandrena ;fimbriata;Andrena fimbriata;Brullé, 1832
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Holandrena ;flavilabris;Andrena flavilabris;Schenck, 1874
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Melandrena ;flavipes;Andrena flavipes;Panzer, 1799
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Nobandrena ;flavobila;Andrena flavobila;Warncke, 1965
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;incertae sedis;florea;Andrena florea;Fabricius, 1793
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Melandrena ;florentina;Andrena florentina;Magretti, 1883
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Micrandrena;floricola;Andrena floricola;Eversmann, 1852
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Lepidandrena ;florivaga;Andrena florivaga;Eversmann, 1852
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Notandrena ;foeniculae;Andrena foeniculae;Wood, 2020
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Holandrena ;forsterella;Andrena forsterella;Osytshnjuk, 1978
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Euandrena ;fortipunctata;Andrena fortipunctata;Wood, 2021
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Cnemidandrena ;freygessneri;Andrena freygessneri;Alfken, 1904
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Micrandrena;fria;Andrena fria;Warncke, 1975
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Andrena ;fucata;Andrena fucata;Smith, 1847
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Aciandrena;fulica;Andrena fulica;Warncke, 1974
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Taeniandrena ;fuliginata;Andrena fuliginata;Pérez, 1895
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Truncandrena ;fuligula;Andrena fuligula;Warncke, 1965
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Andrena ;fulva;Andrena fulva;(Müller, 1766)
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Chrysandrena ;fulvago;Andrena fulvago;(Christ, 1791)
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Euandrena ;fulvata;Andrena fulvata;Stöckhert, 1930
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Notandrena ;fulvicornis;Andrena fulvicornis;(Schenck, 1853)
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Euandrena ;fulvida;Andrena fulvida;Schenck, 1853
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Ulandrena;fulvitarsis;Andrena fulvitarsis;Brullé, 1832
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Micrandrena;fumida;Andrena fumida;Pérez, 1895
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Nobandrena ;funerea;Andrena funerea;Warncke, 1967
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Cnemidandrena ;fuscipes;Andrena fuscipes;(Kirby, 1802)
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Melandrena ;fuscocalcarata;Andrena fuscocalcarata;Morawitz, 1877
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Melanapis ;fuscosa;Andrena fuscosa;Erichson, 1835
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Suandrena ;gades;Andrena gades;Wood & Ortiz-Sánchez, 2022
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Lepidandrena ;gamskrucki;Andrena gamskrucki;Warncke, 1965
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;incertae sedis;garrula;Andrena garrula;Warncke, 1965
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Taeniandrena ;gelriae;Andrena gelriae;van der Vecht, 1927
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Truncandrena;ghisbaini;Andrena ghisbaini;Wood, 2023
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Chrysandrena ;glandaria;Andrena glandaria;Warncke, 1975
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Euandrena ;glidia;Andrena glidia;Warncke, 1965
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Micrandrena;gomerensis;Andrena gomerensis;Warncke, 1993
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Chlorandrena ;gordia;Andrena gordia;Warncke, 1975
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Ulandrena;graciliata;Andrena graciliata;Wood, 2023
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Graecandrena ;graecella;Andrena graecella;Warncke, 1965
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Euandrena ;granulosa;Andrena granulosa;Pérez, 1902
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Melandrena ;gravida;Andrena gravida;Imhoff, 1832
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Taeniandrena ;gredana;Andrena gredana;Warncke, 1975
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Notandrena ;griseobalteata;Andrena griseobalteata;Dours, 1872
